[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,1,2,TRUE,0,5,0.740146479
3,0,0,1,6,TRUE,0,5,0.701035938
2,0,0,1,4,TRUE,0,5,1.2356784
16,0,0,1,2,TRUE,10,5,-0.677932993
4,0,0,1,8,TRUE,0,5,0.893429132
5,0,0,1,10,TRUE,0,5,1.025888942
17,0,0,1,4,TRUE,10,5,-0.157841174
7,0,0,1,14,TRUE,0,5,0.209245847
11,0,0,1,22,TRUE,0,5,0.941477237
9,0,0,1,18,TRUE,0,5,0.928661015
8,0,0,1,16,TRUE,0,5,0.587813238
6,0,0,1,12,TRUE,0,5,0.427175501
10,0,0,1,20,TRUE,0,5,0.822542058
18,0,0,1,6,TRUE,10,5,-0.255670999
13,0,0,1,26,TRUE,0,5,0.537969061
12,0,0,1,24,TRUE,0,5,0.302582955
25,0,0,1,20,TRUE,10,5,0.197185126
19,0,0,1,8,TRUE,10,5,0.331780969
14,0,0,1,28,TRUE,0,5,0.748711119
20,0,0,1,10,TRUE,10,5,0.160279158
15,0,0,1,30,TRUE,0,5,0.518277751
23,0,0,1,16,TRUE,10,5,-0.09601319
24,0,0,1,18,TRUE,10,5,0.109173951
21,0,0,1,12,TRUE,10,5,-0.057307664
26,0,0,1,22,TRUE,10,5,0.386928518
29,0,0,1,28,TRUE,10,5,0.202747209
33,0,0,1,6,TRUE,20,5,-0.284077771
22,0,0,1,14,TRUE,10,5,-0.139482125
27,0,0,1,24,TRUE,10,5,0.175846219
34,0,0,1,8,TRUE,20,5,-0.203562794
35,0,0,1,10,TRUE,20,5,-0.062154972
32,0,0,1,4,TRUE,20,5,-0.00721643
30,0,0,1,30,TRUE,10,5,0.235082837
39,0,0,1,18,TRUE,20,5,0.104037716
43,0,0,1,26,TRUE,20,5,-0.151186582
28,0,0,1,26,TRUE,10,5,0.075337256
41,0,0,1,22,TRUE,20,5,0.001439584
31,0,0,1,2,TRUE,20,5,0.653353576
37,0,0,1,14,TRUE,20,5,0.475704375
47,0,0,1,4,TRUE,30,5,0.831721449
36,0,0,1,12,TRUE,20,5,0.504618722
50,0,0,1,10,TRUE,30,5,0.208916047
45,0,0,1,30,TRUE,20,5,-0.184423841
42,0,0,1,24,TRUE,20,5,0.10546145
49,0,0,1,8,TRUE,30,5,-0.059516974
46,0,0,1,2,TRUE,30,5,0.84554641
38,0,0,1,16,TRUE,20,5,0.03183243
53,0,0,1,16,TRUE,30,5,0.515913429
52,0,0,1,14,TRUE,30,5,-0.106653657
48,0,0,1,6,TRUE,30,5,0.274104691
40,0,0,1,20,TRUE,20,5,0.016911939
61,0,0,1,2,TRUE,40,5,-0.620876161
44,0,0,1,28,TRUE,20,5,0.073281353
54,0,0,1,18,TRUE,30,5,0.414276653
58,0,0,1,26,TRUE,30,5,-0.140680909
62,0,0,1,4,TRUE,40,5,-0.985301327
56,0,0,1,22,TRUE,30,5,0.362003835
65,0,0,1,10,TRUE,40,5,0.040643508
51,0,0,1,12,TRUE,30,5,0.148664005
60,0,0,1,30,TRUE,30,5,-0.043554269
59,0,0,1,28,TRUE,30,5,-0.085368812
55,0,0,1,20,TRUE,30,5,0.208170751
63,0,0,1,6,TRUE,40,5,-0.116783408
68,0,0,1,16,TRUE,40,5,0.37542545
66,0,0,1,12,TRUE,40,5,-0.450143065
71,0,0,1,22,TRUE,40,5,0.117774694
64,0,0,1,8,TRUE,40,5,-0.363031596
67,0,0,1,14,TRUE,40,5,0.173836076
77,0,0,1,4,TRUE,50,5,-0.803957483
72,0,0,1,24,TRUE,40,5,-0.249863817
76,0,0,1,2,TRUE,50,5,-0.069171191
78,0,0,1,6,TRUE,50,5,-0.11866459
