[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,1,2,TRUE,0,320,0.983910235
2,0,0,1,4,TRUE,0,320,0.413477906
16,0,0,1,2,TRUE,10,320,0.840202931
3,0,0,1,6,TRUE,0,320,0.694348266
4,0,0,1,8,TRUE,0,320,1.008970327
6,0,0,1,12,TRUE,0,320,1.089137887
5,0,0,1,10,TRUE,0,320,1.083112327
17,0,0,1,4,TRUE,10,320,0.452345179
7,0,0,1,14,TRUE,0,320,1.00568593
8,0,0,1,16,TRUE,0,320,0.532707345
9,0,0,1,18,TRUE,0,320,1.086959558
10,0,0,1,20,TRUE,0,320,0.973512605
11,0,0,1,22,TRUE,0,320,0.914173076
12,0,0,1,24,TRUE,0,320,0.843529936
18,0,0,1,6,TRUE,10,320,-0.230981305
19,0,0,1,8,TRUE,10,320,-0.236062434
13,0,0,1,26,TRUE,0,320,0.463615714
20,0,0,1,10,TRUE,10,320,0.57643218
14,0,0,1,28,TRUE,0,320,0.943003733
15,0,0,1,30,TRUE,0,320,1.057475983
21,0,0,1,12,TRUE,10,320,-0.182602168
22,0,0,1,14,TRUE,10,320,0.328510067
31,0,0,1,2,TRUE,20,320,-0.472770086
24,0,0,1,18,TRUE,10,320,0.185011799
32,0,0,1,4,TRUE,20,320,-0.064905708
23,0,0,1,16,TRUE,10,320,0.019403874
33,0,0,1,6,TRUE,20,320,-0.801501181
34,0,0,1,8,TRUE,20,320,0.05155377
25,0,0,1,20,TRUE,10,320,-0.354023048
35,0,0,1,10,TRUE,20,320,0.53344707
26,0,0,1,22,TRUE,10,320,-0.147612752
36,0,0,1,12,TRUE,20,320,0.389343069
27,0,0,1,24,TRUE,10,320,0.020693048
28,0,0,1,26,TRUE,10,320,0.135165542
37,0,0,1,14,TRUE,20,320,0.572367756
29,0,0,1,28,TRUE,10,320,0.113040014
38,0,0,1,16,TRUE,20,320,0.314310139
46,0,0,1,2,TRUE,30,320,-0.784693466
30,0,0,1,30,TRUE,10,320,0.08810391
47,0,0,1,4,TRUE,30,320,0.260637265
39,0,0,1,18,TRUE,20,320,-0.075110369
48,0,0,1,6,TRUE,30,320,0.267770564
40,0,0,1,20,TRUE,20,320,0.413416292
