[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
2,0,0,1,4,TRUE,0,10,0.948079053
16,0,0,1,2,TRUE,10,10,-0.403249478
3,0,0,1,6,TRUE,0,10,0.324397412
4,0,0,1,8,TRUE,0,10,0.958746205
1,0,0,1,2,TRUE,0,10,-0.543010541
12,0,0,1,24,TRUE,0,10,0.854770803
5,0,0,1,10,TRUE,0,10,1.023132092
6,0,0,1,12,TRUE,0,10,1.032103823
7,0,0,1,14,TRUE,0,10,0.719929643
17,0,0,1,4,TRUE,10,10,0.034088705
10,0,0,1,20,TRUE,0,10,0.731206023
8,0,0,1,16,TRUE,0,10,0.702374461
15,0,0,1,30,TRUE,0,10,0.752775112
9,0,0,1,18,TRUE,0,10,0.724041418
14,0,0,1,28,TRUE,0,10,0.539067996
19,0,0,1,8,TRUE,10,10,0.904696822
18,0,0,1,6,TRUE,10,10,-0.402238286
13,0,0,1,26,TRUE,0,10,0.547252567
22,0,0,1,14,TRUE,10,10,0.223867464
11,0,0,1,22,TRUE,0,10,0.791575243
20,0,0,1,10,TRUE,10,10,0.016343839
33,0,0,1,6,TRUE,20,10,0.921636641
25,0,0,1,20,TRUE,10,10,0.193032519
31,0,0,1,2,TRUE,20,10,1.123760199
35,0,0,1,10,TRUE,20,10,0.34834714
21,0,0,1,12,TRUE,10,10,0.179862786
23,0,0,1,16,TRUE,10,10,-0.117584865
32,0,0,1,4,TRUE,20,10,-0.3097134
24,0,0,1,18,TRUE,10,10,-0.325622106
34,0,0,1,8,TRUE,20,10,-0.076620968
29,0,0,1,28,TRUE,10,10,-0.038865014
27,0,0,1,24,TRUE,10,10,-0.40445797
28,0,0,1,26,TRUE,10,10,0.16241418
26,0,0,1,22,TRUE,10,10,0.047351302
37,0,0,1,14,TRUE,20,10,0.05731842
30,0,0,1,30,TRUE,10,10,0.13513533
40,0,0,1,20,TRUE,20,10,0.244977126
39,0,0,1,18,TRUE,20,10,0.160868598
38,0,0,1,16,TRUE,20,10,-0.418288344
36,0,0,1,12,TRUE,20,10,0.118790229
51,0,0,1,12,TRUE,30,10,-0.310707378
41,0,0,1,22,TRUE,20,10,-0.191663022
50,0,0,1,10,TRUE,30,10,0.262867845
42,0,0,1,24,TRUE,20,10,0.084082433
53,0,0,1,16,TRUE,30,10,0.01865259
48,0,0,1,6,TRUE,30,10,0.749272081
47,0,0,1,4,TRUE,30,10,0.540682523
44,0,0,1,28,TRUE,20,10,-0.013660977
43,0,0,1,26,TRUE,20,10,-0.245865553
54,0,0,1,18,TRUE,30,10,0.020347808
46,0,0,1,2,TRUE,30,10,0.803416713
55,0,0,1,20,TRUE,30,10,-0.049227809
61,0,0,1,2,TRUE,40,10,-0.36635698
49,0,0,1,8,TRUE,30,10,0.473324977
45,0,0,1,30,TRUE,20,10,-0.265382308
63,0,0,1,6,TRUE,40,10,0.61142386
62,0,0,1,4,TRUE,40,10,-0.368122903
57,0,0,1,24,TRUE,30,10,0.164229434
64,0,0,1,8,TRUE,40,10,0.085035113
66,0,0,1,12,TRUE,40,10,-0.121981951
65,0,0,1,10,TRUE,40,10,0.14046499
58,0,0,1,26,TRUE,30,10,-0.032550896
52,0,0,1,14,TRUE,30,10,0.03426472
67,0,0,1,14,TRUE,40,10,0.441264394
60,0,0,1,30,TRUE,30,10,-0.027523539
56,0,0,1,22,TRUE,30,10,0.228643306
76,0,0,1,2,TRUE,50,10,-0.366875293
77,0,0,1,4,TRUE,50,10,-0.481720962
68,0,0,1,16,TRUE,40,10,-0.296282192
