,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.0,0.0,1.0,4.0,1.0,0.0,10.0,0.51495362058
1,0.0,0.0,1.0,4.0,1.0,10.0,10.0,0.026620521180000002
2,0.0,0.0,1.0,4.0,1.0,20.0,10.0,0.02432566331999999
3,0.0,0.0,1.0,4.0,1.0,30.0,10.0,0.12780010108
4,0.0,0.0,1.0,4.0,1.0,40.0,10.0,0.030481593559999985
5,0.0,0.0,1.0,4.0,1.0,50.0,10.0,0.14272114823999998
6,0.0,0.0,1.0,4.0,1.0,60.0,10.0,0.11008032699999999
7,0.0,0.0,1.0,4.0,1.0,70.0,10.0,-0.15093579373999996
8,0.0,0.0,1.0,4.0,1.0,80.0,10.0,0.06870019094000002
9,0.0,0.0,1.0,4.0,1.0,90.0,10.0,-0.13593195644
10,0.0,0.0,1.0,4.0,1.0,100.0,10.0,-0.010198612279999998
11,0.0,0.0,1.0,2.0,1.0,10.0,10.0,-0.07581848548
12,0.0,0.0,1.0,2.0,1.0,0.0,10.0,0.38451978674
13,0.0,0.0,1.0,2.0,1.0,20.0,10.0,-0.11873164167999999
14,0.0,0.0,1.0,2.0,1.0,30.0,10.0,-0.07489508908
15,0.0,0.0,1.0,2.0,1.0,40.0,10.0,-0.030374234220000008
16,0.0,0.0,1.0,2.0,1.0,50.0,10.0,0.13744299827999998
17,0.0,0.0,1.0,2.0,1.0,60.0,10.0,0.01646636743999999
18,0.0,0.0,1.0,2.0,1.0,70.0,10.0,0.010442592480000002
19,0.0,0.0,1.0,2.0,1.0,80.0,10.0,-0.06663416152
20,0.0,0.0,1.0,2.0,1.0,90.0,10.0,0.10249164166000002
21,0.0,0.0,1.0,2.0,1.0,100.0,10.0,0.06960593731999999
22,0.0,0.0,1.0,6.0,1.0,0.0,10.0,0.7845606800199999
23,0.0,0.0,1.0,6.0,1.0,10.0,10.0,-0.03312724128
24,0.0,0.0,1.0,6.0,1.0,20.0,10.0,-0.005725819960000004
25,0.0,0.0,1.0,6.0,1.0,30.0,10.0,0.07055325344
26,0.0,0.0,1.0,6.0,1.0,40.0,10.0,-0.03166665972000002
