,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.23266499288000003
1,0.0,0.0,1.0,2.0,1.0,10.0,5.0,0.28524927984
2,0.0,0.0,1.0,2.0,1.0,20.0,5.0,0.18432324810000003
3,0.0,0.0,1.0,2.0,1.0,30.0,5.0,-0.0999754516
4,0.0,0.0,1.0,2.0,1.0,40.0,5.0,0.17067706859999998
5,0.0,0.0,1.0,2.0,1.0,50.0,5.0,-0.03284071806
6,0.0,0.0,1.0,2.0,1.0,60.0,5.0,0.07574095093999997
7,0.0,0.0,1.0,2.0,1.0,70.0,5.0,-0.11932764114
8,0.0,0.0,1.0,2.0,1.0,80.0,5.0,0.05306135942
9,0.0,0.0,1.0,2.0,1.0,90.0,5.0,0.06513009464
10,0.0,0.0,1.0,2.0,1.0,100.0,5.0,-0.052508918980000006
11,0.0,0.0,1.0,6.0,1.0,0.0,5.0,0.81088206006
12,0.0,0.0,1.0,6.0,1.0,10.0,5.0,0.07427271686
13,0.0,0.0,1.0,6.0,1.0,20.0,5.0,0.013381837480000009
14,0.0,0.0,1.0,6.0,1.0,30.0,5.0,-0.08038739544000001
15,0.0,0.0,1.0,6.0,1.0,40.0,5.0,-0.036046272760000005
16,0.0,0.0,1.0,6.0,1.0,50.0,5.0,0.11938324691999998
17,0.0,0.0,1.0,6.0,1.0,60.0,5.0,0.08302539762000002
18,0.0,0.0,1.0,6.0,1.0,70.0,5.0,0.06485115306000001
19,0.0,0.0,1.0,6.0,1.0,80.0,5.0,-0.016896942960000005
20,0.0,0.0,1.0,6.0,1.0,90.0,5.0,0.045159582819999995
21,0.0,0.0,1.0,6.0,1.0,100.0,5.0,0.02503680266
22,0.0,0.0,1.0,4.0,1.0,0.0,5.0,0.66174424144
23,0.0,0.0,1.0,4.0,1.0,10.0,5.0,0.09587589162000003
24,0.0,0.0,1.0,4.0,1.0,20.0,5.0,0.030577052439999995
25,0.0,0.0,1.0,4.0,1.0,30.0,5.0,-0.023847992719999996
26,0.0,0.0,1.0,4.0,1.0,40.0,5.0,-0.08637123604000001
27,0.0,0.0,1.0,4.0,1.0,50.0,5.0,-0.035479012839999984
28,0.0,0.0,1.0,4.0,1.0,60.0,5.0,0.041495969099999995
29,0.0,0.0,1.0,4.0,1.0,70.0,5.0,0.07910108558000001
30,0.0,0.0,1.0,4.0,1.0,80.0,5.0,0.04832582179999998
31,0.0,0.0,1.0,4.0,1.0,90.0,5.0,0.04753698238
32,0.0,0.0,1.0,4.0,1.0,100.0,5.0,-0.020012251679999992
33,0.0,0.0,1.0,8.0,1.0,0.0,5.0,0.66682278402
34,0.0,0.0,1.0,8.0,1.0,10.0,5.0,0.06769877376
35,0.0,0.0,1.0,8.0,1.0,20.0,5.0,0.0786980258
36,0.0,0.0,1.0,8.0,1.0,30.0,5.0,0.009145014939999998
37,0.0,0.0,1.0,8.0,1.0,40.0,5.0,0.07832232080000001
38,0.0,0.0,1.0,8.0,1.0,50.0,5.0,0.015983276959999997
39,0.0,0.0,1.0,8.0,1.0,60.0,5.0,-0.01097473946000001
40,0.0,0.0,1.0,8.0,1.0,70.0,5.0,0.06846540917999999
41,0.0,0.0,1.0,8.0,1.0,80.0,5.0,-0.05508676632000001
42,0.0,0.0,1.0,8.0,1.0,90.0,5.0,0.042967570840000004
43,0.0,0.0,1.0,8.0,1.0,100.0,5.0,0.0628101034
44,0.0,0.0,1.0,10.0,1.0,0.0,5.0,0.7085543293599998
45,0.0,0.0,1.0,10.0,1.0,10.0,5.0,0.0604382921
46,0.0,0.0,1.0,10.0,1.0,20.0,5.0,-0.0009987408399999979
47,0.0,0.0,1.0,10.0,1.0,30.0,5.0,0.07100274694000001
48,0.0,0.0,1.0,10.0,1.0,40.0,5.0,-0.0178372392
49,0.0,0.0,1.0,10.0,1.0,50.0,5.0,0.014833088620000007
50,0.0,0.0,1.0,10.0,1.0,60.0,5.0,-0.04756524220000001
51,0.0,0.0,1.0,10.0,1.0,70.0,5.0,0.07167500356
52,0.0,0.0,1.0,10.0,1.0,80.0,5.0,0.04493239072
53,0.0,0.0,1.0,10.0,1.0,90.0,5.0,-0.005134809300000007
54,0.0,0.0,1.0,10.0,1.0,100.0,5.0,0.029050606160000006
55,0.0,0.0,1.0,14.0,1.0,0.0,5.0,0.78932220588
56,0.0,0.0,1.0,14.0,1.0,10.0,5.0,0.010763989379999997
57,0.0,0.0,1.0,14.0,1.0,20.0,5.0,0.09514040017999999
58,0.0,0.0,1.0,14.0,1.0,30.0,5.0,-0.03997918514
59,0.0,0.0,1.0,14.0,1.0,40.0,5.0,0.025498993040000008
60,0.0,0.0,1.0,14.0,1.0,50.0,5.0,0.021554449660000002
61,0.0,0.0,1.0,14.0,1.0,60.0,5.0,0.057195522219999996
62,0.0,0.0,1.0,14.0,1.0,70.0,5.0,-0.01962197892
63,0.0,0.0,1.0,14.0,1.0,80.0,5.0,0.040690667160000006
64,0.0,0.0,1.0,14.0,1.0,90.0,5.0,0.014814577040000006
65,0.0,0.0,1.0,14.0,1.0,100.0,5.0,-0.016293072640000007
66,0.0,0.0,1.0,22.0,1.0,0.0,5.0,0.7499545874799999
67,0.0,0.0,1.0,22.0,1.0,10.0,5.0,0.13347933580000002
68,0.0,0.0,1.0,22.0,1.0,20.0,5.0,0.026603023519999994
69,0.0,0.0,1.0,22.0,1.0,30.0,5.0,0.030433867760000007
70,0.0,0.0,1.0,22.0,1.0,40.0,5.0,0.041756620380000005
71,0.0,0.0,1.0,22.0,1.0,50.0,5.0,0.03289548669999998
72,0.0,0.0,1.0,22.0,1.0,60.0,5.0,0.007811765140000002
73,0.0,0.0,1.0,22.0,1.0,70.0,5.0,0.009005446300000004
74,0.0,0.0,1.0,22.0,1.0,80.0,5.0,-0.017803744280000002
75,0.0,0.0,1.0,22.0,1.0,90.0,5.0,0.029371490279999996
76,0.0,0.0,1.0,22.0,1.0,100.0,5.0,-0.00576009888
77,0.0,0.0,1.0,18.0,1.0,0.0,5.0,0.76119027384
78,0.0,0.0,1.0,18.0,1.0,10.0,5.0,0.03885910677999999
79,0.0,0.0,1.0,18.0,1.0,20.0,5.0,0.019579012940000008
80,0.0,0.0,1.0,18.0,1.0,30.0,5.0,0.03328967748
81,0.0,0.0,1.0,18.0,1.0,40.0,5.0,0.07828747743999999
82,0.0,0.0,1.0,18.0,1.0,50.0,5.0,0.010989404719999993
83,0.0,0.0,1.0,18.0,1.0,60.0,5.0,0.043940257340000004
84,0.0,0.0,1.0,18.0,1.0,70.0,5.0,0.020383623539999996
85,0.0,0.0,1.0,18.0,1.0,80.0,5.0,-0.003196066499999996
86,0.0,0.0,1.0,18.0,1.0,90.0,5.0,0.046619459380000006
87,0.0,0.0,1.0,18.0,1.0,100.0,5.0,-0.0020458325599999982
88,0.0,0.0,1.0,16.0,1.0,0.0,5.0,0.7593997565000001
89,0.0,0.0,1.0,16.0,1.0,10.0,5.0,0.13161856387999998
90,0.0,0.0,1.0,16.0,1.0,20.0,5.0,0.023888567640000004
