,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.08991331161999996
1,0.0,0.0,1.0,2.0,1.0,10.0,2.0,-0.017248769319999982
2,0.0,0.0,1.0,2.0,1.0,20.0,2.0,-0.13956215819999998
3,0.0,0.0,1.0,2.0,1.0,30.0,2.0,0.10640543860000001
4,0.0,0.0,1.0,2.0,1.0,40.0,2.0,0.16387291252
5,0.0,0.0,1.0,2.0,1.0,60.0,2.0,0.03478861924000004
6,0.0,0.0,1.0,2.0,1.0,50.0,2.0,0.05104152708
7,0.0,0.0,1.0,2.0,1.0,70.0,2.0,0.043835019399999994
8,0.0,0.0,1.0,2.0,1.0,80.0,2.0,-0.1113847755
9,0.0,0.0,1.0,2.0,1.0,90.0,2.0,0.008319388160000022
10,0.0,0.0,1.0,2.0,1.0,100.0,2.0,-0.014526718399999998
11,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.42890540551999995
12,0.0,0.0,1.0,4.0,1.0,10.0,2.0,0.16820886738000002
13,0.0,0.0,1.0,4.0,1.0,20.0,2.0,0.04406790084
14,0.0,0.0,1.0,4.0,1.0,30.0,2.0,-0.03657880294
15,0.0,0.0,1.0,4.0,1.0,40.0,2.0,0.11463601986000001
16,0.0,0.0,1.0,4.0,1.0,50.0,2.0,-0.03173230219999999
17,0.0,0.0,1.0,4.0,1.0,60.0,2.0,0.12794865307999997
18,0.0,0.0,1.0,4.0,1.0,70.0,2.0,-0.0464932547
19,0.0,0.0,1.0,4.0,1.0,80.0,2.0,0.08477155107999998
20,0.0,0.0,1.0,4.0,1.0,90.0,2.0,0.06937544594000002
21,0.0,0.0,1.0,4.0,1.0,100.0,2.0,0.03823209810000001
22,0.0,0.0,1.0,10.0,1.0,0.0,2.0,0.48063159739999994
23,0.0,0.0,1.0,10.0,1.0,10.0,2.0,0.06985896554
24,0.0,0.0,1.0,10.0,1.0,20.0,2.0,-0.036042089060000004
25,0.0,0.0,1.0,10.0,1.0,30.0,2.0,0.017391081699999998
26,0.0,0.0,1.0,10.0,1.0,40.0,2.0,-0.019328072059999993
27,0.0,0.0,1.0,10.0,1.0,60.0,2.0,-0.041170513160000005
28,0.0,0.0,1.0,10.0,1.0,50.0,2.0,-0.03514655795999998
29,0.0,0.0,1.0,10.0,1.0,80.0,2.0,-0.028382148479999997
30,0.0,0.0,1.0,10.0,1.0,70.0,2.0,0.010192024859999996
31,0.0,0.0,1.0,10.0,1.0,90.0,2.0,-0.013600331259999992
32,0.0,0.0,1.0,10.0,1.0,100.0,2.0,-0.04649630447999999
33,0.0,0.0,1.0,6.0,1.0,0.0,2.0,0.5215352158
34,0.0,0.0,1.0,6.0,1.0,10.0,2.0,0.046665465579999996
35,0.0,0.0,1.0,6.0,1.0,20.0,2.0,-0.009971370020000005
36,0.0,0.0,1.0,6.0,1.0,30.0,2.0,0.029363393479999996
37,0.0,0.0,1.0,6.0,1.0,40.0,2.0,0.029285809460000003
