,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,15.0,0.0,100.0,100.0,0.0,0.0,40.0,25.224606023
1,0.0,0.0,100.0,100.0,0.0,0.0,40.0,25.219226236999997
2,50.0,0.0,100.0,100.0,0.0,0.0,40.0,25.190843235
3,25.0,0.0,100.0,100.0,0.0,0.0,40.0,25.053751473000002
4,55.0,0.0,100.0,100.0,0.0,0.0,40.0,25.255493409000003
5,40.0,0.0,100.0,100.0,0.0,0.0,40.0,25.043548431
6,35.0,0.0,100.0,100.0,0.0,0.0,40.0,25.50222148
7,45.0,0.0,100.0,100.0,0.0,0.0,40.0,25.068963278000002
8,10.0,0.0,100.0,100.0,0.0,0.0,40.0,24.990214356000003
9,65.0,0.0,100.0,100.0,0.0,0.0,40.0,25.116361039
10,70.0,0.0,100.0,100.0,0.0,0.0,40.0,25.134912020999998
11,60.0,0.0,100.0,100.0,0.0,0.0,40.0,24.963593695999997
12,20.0,0.0,100.0,100.0,0.0,0.0,40.0,25.623173887999997
13,5.0,0.0,100.0,100.0,0.0,0.0,40.0,25.117010323000002
14,30.0,0.0,100.0,100.0,0.0,0.0,40.0,25.341384459
15,75.0,0.0,100.0,100.0,0.0,0.0,40.0,25.133335188
16,85.0,0.0,100.0,100.0,0.0,0.0,40.0,25.140106296
17,80.0,0.0,100.0,100.0,0.0,0.0,40.0,25.197336078
18,90.0,0.0,100.0,100.0,0.0,0.0,40.0,25.344723637999998
19,100.0,0.0,100.0,100.0,0.0,0.0,40.0,25.035942528
20,95.0,0.0,100.0,100.0,0.0,0.0,40.0,25.500737403
21,15.0,0.0,100.0,100.0,0.0,5.0,40.0,30.283922792
22,35.0,0.0,100.0,100.0,0.0,5.0,40.0,30.803721326999998
23,0.0,0.0,100.0,100.0,0.0,5.0,40.0,30.203226017
24,5.0,0.0,100.0,100.0,0.0,5.0,40.0,30.320004452
25,10.0,0.0,100.0,100.0,0.0,5.0,40.0,30.334937994
