,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,30.0,0.0,100.0,100.0,0.0,0.0,80.0,25.337117735
1,70.0,0.0,100.0,100.0,0.0,0.0,80.0,25.145300571
2,0.0,0.0,100.0,100.0,0.0,0.0,80.0,25.170622664
3,15.0,0.0,100.0,100.0,0.0,0.0,80.0,25.440168444
4,45.0,0.0,100.0,100.0,0.0,0.0,80.0,25.167561752
5,35.0,0.0,100.0,100.0,0.0,0.0,80.0,25.474858782
6,75.0,0.0,100.0,100.0,0.0,0.0,80.0,25.924812867999997
7,65.0,0.0,100.0,100.0,0.0,0.0,80.0,25.031954066999997
8,10.0,0.0,100.0,100.0,0.0,0.0,80.0,25.341013439999994
9,60.0,0.0,100.0,100.0,0.0,0.0,80.0,25.176466224
10,40.0,0.0,100.0,100.0,0.0,0.0,80.0,24.898758012000002
11,5.0,0.0,100.0,100.0,0.0,0.0,80.0,25.416144919999997
12,55.0,0.0,100.0,100.0,0.0,0.0,80.0,25.124059698
13,25.0,0.0,100.0,100.0,0.0,0.0,80.0,24.963779203999998
14,20.0,0.0,100.0,100.0,0.0,0.0,80.0,25.190657726
15,50.0,0.0,100.0,100.0,0.0,0.0,80.0,25.125451021
16,80.0,0.0,100.0,100.0,0.0,0.0,80.0,25.174703880000003
17,90.0,0.0,100.0,100.0,0.0,0.0,80.0,25.118958176
18,85.0,0.0,100.0,100.0,0.0,0.0,80.0,25.347691795
19,95.0,0.0,100.0,100.0,0.0,0.0,80.0,25.387390899
20,100.0,0.0,100.0,100.0,0.0,0.0,80.0,25.690977730000004
21,10.0,0.0,100.0,100.0,0.0,5.0,80.0,30.877368728999993
22,25.0,0.0,100.0,100.0,0.0,5.0,80.0,31.10257766
23,15.0,0.0,100.0,100.0,0.0,5.0,80.0,31.177523629
24,5.0,0.0,100.0,100.0,0.0,5.0,80.0,31.155633468999998
25,0.0,0.0,100.0,100.0,0.0,5.0,80.0,31.203495003999997
26,20.0,0.0,100.0,100.0,0.0,5.0,80.0,30.949346542
27,30.0,0.0,100.0,100.0,0.0,5.0,80.0,31.324725678000004
28,35.0,0.0,100.0,100.0,0.0,5.0,80.0,30.960569888000002
29,40.0,0.0,100.0,100.0,0.0,5.0,80.0,31.232249029000002
30,50.0,0.0,100.0,100.0,0.0,5.0,80.0,31.227240263
31,45.0,0.0,100.0,100.0,0.0,5.0,80.0,31.168990177
32,55.0,0.0,100.0,100.0,0.0,5.0,80.0,31.150068174
33,60.0,0.0,100.0,100.0,0.0,5.0,80.0,31.264434984
34,65.0,0.0,100.0,100.0,0.0,5.0,80.0,31.444936046000002
35,70.0,0.0,100.0,100.0,0.0,5.0,80.0,31.113429985
36,75.0,0.0,100.0,100.0,0.0,5.0,80.0,31.049892867
37,80.0,0.0,100.0,100.0,0.0,5.0,80.0,31.105545816999996
38,85.0,0.0,100.0,100.0,0.0,5.0,80.0,30.633145041
39,90.0,0.0,100.0,100.0,0.0,5.0,80.0,31.211935700999998
40,95.0,0.0,100.0,100.0,0.0,5.0,80.0,31.034310041999998
41,100.0,0.0,100.0,100.0,0.0,5.0,80.0,31.076420771999995
42,0.0,0.0,100.0,100.0,0.0,10.0,80.0,36.209013924000004
43,5.0,0.0,100.0,100.0,0.0,10.0,80.0,36.43459387200001
44,10.0,0.0,100.0,100.0,0.0,10.0,80.0,36.376807561999996
45,15.0,0.0,100.0,100.0,0.0,10.0,80.0,36.560555044
46,20.0,0.0,100.0,100.0,0.0,10.0,80.0,36.564543506
47,25.0,0.0,100.0,100.0,0.0,10.0,80.0,36.43719101
48,35.0,0.0,100.0,100.0,0.0,10.0,80.0,36.510281881000004
49,30.0,0.0,100.0,100.0,0.0,10.0,80.0,36.603686081
50,45.0,0.0,100.0,100.0,0.0,10.0,80.0,36.379497453000006
51,40.0,0.0,100.0,100.0,0.0,10.0,80.0,36.787990093999994
52,50.0,0.0,100.0,100.0,0.0,10.0,80.0,36.665275343000005
53,55.0,0.0,100.0,100.0,0.0,10.0,80.0,36.59329753000001
54,60.0,0.0,100.0,100.0,0.0,10.0,80.0,36.946229977
55,65.0,0.0,100.0,100.0,0.0,10.0,80.0,36.513621058
56,70.0,0.0,100.0,100.0,0.0,10.0,80.0,36.627431337999994
57,75.0,0.0,100.0,100.0,0.0,10.0,80.0,36.462513101
58,80.0,0.0,100.0,100.0,0.0,10.0,80.0,36.57604511499999
59,90.0,0.0,100.0,100.0,0.0,10.0,80.0,36.806541077000006
60,95.0,0.0,100.0,100.0,0.0,10.0,80.0,36.401851388000004
61,85.0,0.0,100.0,100.0,0.0,10.0,80.0,36.300192001
62,100.0,0.0,100.0,100.0,0.0,10.0,80.0,36.545250485000004
63,0.0,0.0,100.0,100.0,0.0,15.0,80.0,38.99444398
64,5.0,0.0,100.0,100.0,0.0,15.0,80.0,39.533535539
65,10.0,0.0,100.0,100.0,0.0,15.0,80.0,39.897784086
66,20.0,0.0,100.0,100.0,0.0,15.0,80.0,40.167515374
67,25.0,0.0,100.0,100.0,0.0,15.0,80.0,40.498186641
68,15.0,0.0,100.0,100.0,0.0,15.0,80.0,40.127909026
69,30.0,0.0,100.0,100.0,0.0,15.0,80.0,40.785355854
70,45.0,0.0,100.0,100.0,0.0,15.0,80.0,40.913450388
71,35.0,0.0,100.0,100.0,0.0,15.0,80.0,40.799547357
72,50.0,0.0,100.0,100.0,0.0,15.0,80.0,41.028744746
73,40.0,0.0,100.0,100.0,0.0,15.0,80.0,40.91641854699999
74,55.0,0.0,100.0,100.0,0.0,15.0,80.0,41.046460935999995
75,60.0,0.0,100.0,100.0,0.0,15.0,80.0,40.960291620999996
76,65.0,0.0,100.0,100.0,0.0,15.0,80.0,41.025776591
77,75.0,0.0,100.0,100.0,0.0,15.0,80.0,41.050820418
78,70.0,0.0,100.0,100.0,0.0,15.0,80.0,40.949624807
79,80.0,0.0,100.0,100.0,0.0,15.0,80.0,41.172236600000005
80,85.0,0.0,100.0,100.0,0.0,15.0,80.0,41.088942685
81,90.0,0.0,100.0,100.0,0.0,15.0,80.0,40.94155513
82,95.0,0.0,100.0,100.0,0.0,15.0,80.0,41.034773818
