,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,75.0,0.0,100.0,100.0,0.0,0.0,10.0,25.363923904
1,25.0,0.0,100.0,100.0,0.0,0.0,10.0,25.166448694000003
2,10.0,0.0,100.0,100.0,0.0,0.0,10.0,25.400191075000002
3,55.0,0.0,100.0,100.0,0.0,0.0,10.0,25.471334096
4,45.0,0.0,100.0,100.0,0.0,0.0,10.0,25.451948316999996
5,30.0,0.0,100.0,100.0,0.0,0.0,10.0,25.453154131
6,65.0,0.0,100.0,100.0,0.0,0.0,10.0,24.869169195
7,70.0,0.0,100.0,100.0,0.0,0.0,10.0,25.134541002
8,0.0,0.0,100.0,100.0,0.0,0.0,10.0,25.451391787000002
9,50.0,0.0,100.0,100.0,0.0,0.0,10.0,25.144558533
10,15.0,0.0,100.0,100.0,0.0,0.0,10.0,25.254751372
11,35.0,0.0,100.0,100.0,0.0,0.0,10.0,25.492760478
12,60.0,0.0,100.0,100.0,0.0,0.0,10.0,25.309476769
13,20.0,0.0,100.0,100.0,0.0,0.0,10.0,25.213104415
14,5.0,0.0,100.0,100.0,0.0,0.0,10.0,25.286659059999998
15,40.0,0.0,100.0,100.0,0.0,0.0,10.0,25.28628804
16,80.0,0.0,100.0,100.0,0.0,0.0,10.0,25.424771127999996
17,90.0,0.0,100.0,100.0,0.0,0.0,10.0,24.919535112
18,95.0,0.0,100.0,100.0,0.0,0.0,10.0,25.290647522
19,100.0,0.0,100.0,100.0,0.0,0.0,10.0,25.255029635999996
20,85.0,0.0,100.0,100.0,0.0,0.0,10.0,24.92686275
21,0.0,0.0,100.0,100.0,0.0,5.0,10.0,27.940469896999996
22,10.0,0.0,100.0,100.0,0.0,5.0,10.0,27.909675263999997
23,5.0,0.0,100.0,100.0,0.0,5.0,10.0,28.356290174
24,30.0,0.0,100.0,100.0,0.0,5.0,10.0,28.757918950000004
25,15.0,0.0,100.0,100.0,0.0,5.0,10.0,28.660062516
26,25.0,0.0,100.0,100.0,0.0,5.0,10.0,28.676943912000002
27,20.0,0.0,100.0,100.0,0.0,5.0,10.0,28.584467262000004
28,35.0,0.0,100.0,100.0,0.0,5.0,10.0,28.909851500000002
29,45.0,0.0,100.0,100.0,0.0,5.0,10.0,28.660711801
30,50.0,0.0,100.0,100.0,0.0,5.0,10.0,29.130608194
31,40.0,0.0,100.0,100.0,0.0,5.0,10.0,28.227917372
