,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,25.0,0.0,100.0,100.0,0.0,0.0,5.0,24.968695216
1,45.0,0.0,100.0,100.0,0.0,0.0,5.0,24.943002104999998
2,65.0,0.0,100.0,100.0,0.0,0.0,5.0,25.407518710999998
3,15.0,0.0,100.0,100.0,0.0,0.0,5.0,24.73189192
4,60.0,0.0,100.0,100.0,0.0,0.0,5.0,25.093079555000003
5,5.0,0.0,100.0,100.0,0.0,0.0,5.0,24.78095927
6,20.0,0.0,100.0,100.0,0.0,0.0,5.0,24.843939857000002
7,0.0,0.0,100.0,100.0,0.0,0.0,5.0,24.248546067
8,50.0,0.0,100.0,100.0,0.0,0.0,5.0,25.622802868999997
9,35.0,0.0,100.0,100.0,0.0,0.0,5.0,25.3355409
10,30.0,0.0,100.0,100.0,0.0,0.0,5.0,25.110795745
11,55.0,0.0,100.0,100.0,0.0,0.0,5.0,25.200768008999997
12,40.0,0.0,100.0,100.0,0.0,0.0,5.0,25.432933559000002
13,75.0,0.0,100.0,100.0,0.0,0.0,5.0,25.033530902
14,70.0,0.0,100.0,100.0,0.0,0.0,5.0,25.380248766
15,10.0,0.0,100.0,100.0,0.0,0.0,5.0,24.887441912
16,90.0,0.0,100.0,100.0,0.0,0.0,5.0,25.532274071
17,85.0,0.0,100.0,100.0,0.0,0.0,5.0,25.257997791999998
18,80.0,0.0,100.0,100.0,0.0,0.0,5.0,25.135932327000003
19,95.0,0.0,100.0,100.0,0.0,0.0,5.0,25.117010323
20,100.0,0.0,100.0,100.0,0.0,0.0,5.0,25.630130506
21,10.0,0.0,100.0,100.0,0.0,5.0,5.0,25.819257772999997
22,15.0,0.0,100.0,100.0,0.0,5.0,5.0,26.228492454
23,20.0,0.0,100.0,100.0,0.0,5.0,5.0,26.324122770000002
24,25.0,0.0,100.0,100.0,0.0,5.0,5.0,26.532450308
25,0.0,0.0,100.0,100.0,0.0,5.0,5.0,25.338972831000003
26,5.0,0.0,100.0,100.0,0.0,5.0,5.0,25.568726752
27,40.0,0.0,100.0,100.0,0.0,5.0,5.0,27.102707516000002
28,50.0,0.0,100.0,100.0,0.0,5.0,5.0,26.851156191
