,Unnamed: 0,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.5,0.0,0.0,1.0,8.0,1.0,0.0,2.0,0.501361197835
1,1.0,0.0,0.0,1.0,8.0,1.0,0.0999999999999999,2.0,0.4967366010866667
2,2.0,0.0,0.0,1.0,8.0,1.0,0.1999999999999999,2.0,0.5193209461033333
3,3.0,0.0,0.0,1.0,8.0,1.0,0.3,2.0,0.5003860278433333
4,4.0,0.0,0.0,1.0,8.0,1.0,0.3999999999999999,2.0,0.47895118455333324
5,5.0,0.0,0.0,1.0,8.0,1.0,0.5,2.0,0.4504053184999999
6,6.0,0.0,0.0,1.0,8.0,1.0,0.6,2.0,0.4304597853599999
7,7.0,0.0,0.0,1.0,8.0,1.0,0.7000000000000002,2.0,0.42525061157999994
8,8.0,0.0,0.0,1.0,8.0,1.0,0.7999999999999998,2.0,0.4117112882333333
9,9.0,0.0,0.0,1.0,8.0,1.0,0.9000000000000005,2.0,0.39741629851
10,10.0,0.0,0.0,1.0,8.0,1.0,1.0,2.0,0.3727997236833333
11,11.0,0.0,0.0,1.0,8.0,1.0,1.0999999999999996,2.0,0.35354702328666665
12,12.0,0.0,0.0,1.0,8.0,1.0,1.2,2.0,0.3521260348933333
13,13.0,0.0,0.0,1.0,8.0,1.0,1.3000000000000005,2.0,0.3523934760666667
14,14.0,0.0,0.0,1.0,8.0,1.0,1.4000000000000004,2.0,0.35536236692000006
15,15.0,0.0,0.0,1.0,8.0,1.0,1.5,2.0,0.31578986974999995
16,16.0,0.0,0.0,1.0,8.0,1.0,1.5999999999999996,2.0,0.28356325540333327
17,17.0,0.0,0.0,1.0,8.0,1.0,1.699999999999999,2.0,0.23236237332666665
18,18.0,0.0,0.0,1.0,8.0,1.0,1.800000000000001,2.0,0.25227760888666667
19,19.0,0.0,0.0,1.0,8.0,1.0,1.9,2.0,0.23793573206666666
20,20.0,0.0,0.0,1.0,8.0,1.0,2.0,2.0,0.24682734540999998
21,21.0,0.0,0.0,1.0,8.0,1.0,2.1,2.0,0.21621805177666667
22,22.0,0.0,0.0,1.0,8.0,1.0,2.1999999999999997,2.0,0.22189627634
23,23.0,0.0,0.0,1.0,8.0,1.0,2.3000000000000007,2.0,0.21403331816333335
24,24.0,0.0,0.0,1.0,8.0,1.0,2.4,2.0,0.19844179584666666
25,25.0,0.0,0.0,1.0,8.0,1.0,2.5,2.0,0.1856942638733333
26,26.0,0.0,0.0,1.0,8.0,1.0,2.6000000000000005,2.0,0.15759548861999997
27,27.0,0.0,0.0,1.0,8.0,1.0,2.6999999999999997,2.0,0.16066829389333329
28,28.0,0.0,0.0,1.0,8.0,1.0,2.8000000000000007,2.0,0.16915857912333332
29,29.0,0.0,0.0,1.0,8.0,1.0,2.899999999999998,2.0,0.17924125075666666
30,29.5,0.0,0.0,1.0,8.0,1.0,3.0,2.0,0.177830200735
31,31.5,0.0,0.0,1.0,2.0,1.0,0.0999999999999999,2.0,0.29261807335999995
32,32.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.338375702
33,33.0,0.0,0.0,1.0,2.0,1.0,0.1999999999999999,2.0,0.3543359569633333
34,34.0,0.0,0.0,1.0,2.0,1.0,0.3,2.0,0.34073120757666664
35,35.0,0.0,0.0,1.0,2.0,1.0,0.3999999999999999,2.0,0.29199828548
36,36.0,0.0,0.0,1.0,2.0,1.0,0.6,2.0,0.30458159638
37,37.0,0.0,0.0,1.0,2.0,1.0,0.5,2.0,0.31020636589666667
38,38.0,0.0,0.0,1.0,2.0,1.0,0.7000000000000002,2.0,0.28776342984333336
39,39.0,0.0,0.0,1.0,2.0,1.0,0.7999999999999998,2.0,0.29237134672000004
40,40.0,0.0,0.0,1.0,2.0,1.0,0.9000000000000005,2.0,0.22757941098666667
41,41.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.21493571095
42,42.0,0.0,0.0,1.0,2.0,1.0,1.0999999999999996,2.0,0.18066245662
43,43.0,0.0,0.0,1.0,2.0,1.0,1.2,2.0,0.22577894246999997
44,44.0,0.0,0.0,1.0,2.0,1.0,1.3000000000000005,2.0,0.22762426117999998
45,45.0,0.0,0.0,1.0,2.0,1.0,1.4000000000000004,2.0,0.1919119673333333
46,46.0,0.0,0.0,1.0,2.0,1.0,1.5,2.0,0.12558264182333326
47,47.0,0.0,0.0,1.0,2.0,1.0,1.5999999999999996,2.0,0.1074660999666666
48,48.0,0.0,0.0,1.0,2.0,1.0,1.699999999999999,2.0,0.11686856317333329
49,49.0,0.0,0.0,1.0,2.0,1.0,1.800000000000001,2.0,0.16034255921333332
50,50.0,0.0,0.0,1.0,2.0,1.0,1.9,2.0,0.17902468773000002
51,51.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.17543356981333333
52,52.0,0.0,0.0,1.0,2.0,1.0,2.1,2.0,0.17187621162333325
53,53.0,0.0,0.0,1.0,2.0,1.0,2.1999999999999997,2.0,0.1461370117066666
54,54.0,0.0,0.0,1.0,2.0,1.0,2.3000000000000007,2.0,0.16017627825333328
55,55.0,0.0,0.0,1.0,2.0,1.0,2.4,2.0,0.0775171267166667
56,56.0,0.0,0.0,1.0,2.0,1.0,2.5,2.0,0.09554665186333333
57,57.0,0.0,0.0,1.0,2.0,1.0,2.6000000000000005,2.0,0.13345219739666667
58,58.0,0.0,0.0,1.0,2.0,1.0,2.6999999999999997,2.0,0.18750530085666664
59,59.0,0.0,0.0,1.0,2.0,1.0,2.8000000000000007,2.0,0.16062075839333328
60,60.0,0.0,0.0,1.0,2.0,1.0,2.899999999999998,2.0,0.08024988113999994
61,60.5,0.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0446600391349999
62,62.5,0.0,0.0,1.0,4.0,1.0,0.0,2.0,0.390321843005
63,63.0,0.0,0.0,1.0,4.0,1.0,0.0999999999999999,2.0,0.3692689570466667
64,64.0,0.0,0.0,1.0,4.0,1.0,0.1999999999999999,2.0,0.40091570756333333
65,65.0,0.0,0.0,1.0,4.0,1.0,0.3,2.0,0.37253654043333323
66,66.0,0.0,0.0,1.0,4.0,1.0,0.3999999999999999,2.0,0.4010654256499999
67,67.0,0.0,0.0,1.0,4.0,1.0,0.5,2.0,0.4156741136966666
68,68.0,0.0,0.0,1.0,4.0,1.0,0.6,2.0,0.43971125081666657
69,69.0,0.0,0.0,1.0,4.0,1.0,0.7000000000000002,2.0,0.39868910014
70,70.0,0.0,0.0,1.0,4.0,1.0,0.7999999999999998,2.0,0.34386410241666665
71,71.0,0.0,0.0,1.0,4.0,1.0,0.9000000000000005,2.0,0.3290024376866667
72,72.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,0.35451364216666664
73,73.0,0.0,0.0,1.0,4.0,1.0,1.0999999999999996,2.0,0.32488561606666666
74,74.0,0.0,0.0,1.0,4.0,1.0,1.2,2.0,0.31900880921999997
75,75.0,0.0,0.0,1.0,4.0,1.0,1.3000000000000005,2.0,0.30699861456000005
76,76.0,0.0,0.0,1.0,4.0,1.0,1.4000000000000004,2.0,0.3106284472133333
77,77.0,0.0,0.0,1.0,4.0,1.0,1.5,2.0,0.28347112330999996
78,78.0,0.0,0.0,1.0,4.0,1.0,1.5999999999999996,2.0,0.22483543399999992
79,79.0,0.0,0.0,1.0,4.0,1.0,1.699999999999999,2.0,0.2374352491799999
80,80.0,0.0,0.0,1.0,4.0,1.0,1.800000000000001,2.0,0.2086463704266666
81,81.0,0.0,0.0,1.0,4.0,1.0,1.9,2.0,0.21374809794999997
82,82.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,0.18460913442333335
83,83.0,0.0,0.0,1.0,4.0,1.0,2.1,2.0,0.16798781480999994
84,84.0,0.0,0.0,1.0,4.0,1.0,2.1999999999999997,2.0,0.17135617423999994
85,85.0,0.0,0.0,1.0,4.0,1.0,2.3000000000000007,2.0,0.1600470840566666
86,86.0,0.0,0.0,1.0,4.0,1.0,2.4,2.0,0.16654572806999995
87,87.0,0.0,0.0,1.0,4.0,1.0,2.5,2.0,0.19165304951666665
88,88.0,0.0,0.0,1.0,4.0,1.0,2.6000000000000005,2.0,0.16304439070666665
89,89.0,0.0,0.0,1.0,4.0,1.0,2.6999999999999997,2.0,0.16867616445666667
90,90.0,0.0,0.0,1.0,4.0,1.0,2.8000000000000007,2.0,0.11701185821666664
91,91.0,0.0,0.0,1.0,4.0,1.0,2.899999999999998,2.0,0.12567769576333326
92,91.5,0.0,0.0,1.0,4.0,1.0,3.0,2.0,0.1094062615249999
93,93.5,0.0,0.0,1.0,6.0,1.0,0.0,2.0,0.4758211164049999
94,94.0,0.0,0.0,1.0,6.0,1.0,0.0999999999999999,2.0,0.4693565919666665
95,95.0,0.0,0.0,1.0,6.0,1.0,0.1999999999999999,2.0,0.46577081452333324
96,96.0,0.0,0.0,1.0,6.0,1.0,0.3,2.0,0.4340248905866666
97,97.0,0.0,0.0,1.0,6.0,1.0,0.3999999999999999,2.0,0.43452741752
98,98.0,0.0,0.0,1.0,6.0,1.0,0.5,2.0,0.4098551102600001
99,99.0,0.0,0.0,1.0,6.0,1.0,0.6,2.0,0.39145350033666676
100,100.0,0.0,0.0,1.0,6.0,1.0,0.7000000000000002,2.0,0.36133873041333336
101,101.0,0.0,0.0,1.0,6.0,1.0,0.7999999999999998,2.0,0.38615913333333335
102,102.0,0.0,0.0,1.0,6.0,1.0,0.9000000000000005,2.0,0.4118915009733333
103,103.0,0.0,0.0,1.0,6.0,1.0,1.0,2.0,0.4141766537766667
104,104.0,0.0,0.0,1.0,6.0,1.0,1.2,2.0,0.36886158480000003
105,105.0,0.0,0.0,1.0,6.0,1.0,1.0999999999999996,2.0,0.29882758918
106,106.0,0.0,0.0,1.0,6.0,1.0,1.3000000000000005,2.0,0.25140042292666664
107,107.0,0.0,0.0,1.0,6.0,1.0,1.4000000000000004,2.0,0.23343799468666662
108,108.0,0.0,0.0,1.0,6.0,1.0,1.5,2.0,0.24743267649999998
109,109.0,0.0,0.0,1.0,6.0,1.0,1.5999999999999996,2.0,0.25080246967666664
110,110.0,0.0,0.0,1.0,6.0,1.0,1.699999999999999,2.0,0.23278073674666666
111,111.0,0.0,0.0,1.0,6.0,1.0,1.800000000000001,2.0,0.22644370827666668
112,112.0,0.0,0.0,1.0,6.0,1.0,1.9,2.0,0.21675397316999997
113,113.0,0.0,0.0,1.0,6.0,1.0,2.0,2.0,0.23013938127
114,114.0,0.0,0.0,1.0,6.0,1.0,2.1,2.0,0.22313405715666665
115,115.0,0.0,0.0,1.0,6.0,1.0,2.1999999999999997,2.0,0.20598024471666665
116,116.0,0.0,0.0,1.0,6.0,1.0,2.3000000000000007,2.0,0.1920212427933333
117,117.0,0.0,0.0,1.0,6.0,1.0,2.4,2.0,0.1765794957
118,118.0,0.0,0.0,1.0,6.0,1.0,2.5,2.0,0.19394149637333333
119,119.0,0.0,0.0,1.0,6.0,1.0,2.6000000000000005,2.0,0.19259546293999996
120,120.0,0.0,0.0,1.0,6.0,1.0,2.6999999999999997,2.0,0.18511912483999995
121,121.0,0.0,0.0,1.0,6.0,1.0,2.8000000000000007,2.0,0.16935238183333326
122,122.0,0.0,0.0,1.0,6.0,1.0,2.899999999999998,2.0,0.16901370324666667
123,122.5,0.0,0.0,1.0,6.0,1.0,3.0,2.0,0.18200587290500003
124,124.5,0.0,0.0,1.0,10.0,1.0,0.0,2.0,0.5479792629000001
125,125.0,0.0,0.0,1.0,10.0,1.0,0.0999999999999999,2.0,0.53273332483
126,126.0,0.0,0.0,1.0,10.0,1.0,0.1999999999999999,2.0,0.5067300627333333
127,127.0,0.0,0.0,1.0,10.0,1.0,0.3,2.0,0.49599777152333324
128,128.0,0.0,0.0,1.0,10.0,1.0,0.3999999999999999,2.0,0.5110045470766666
129,129.0,0.0,0.0,1.0,10.0,1.0,0.5,2.0,0.5240051623866666
130,130.0,0.0,0.0,1.0,10.0,1.0,0.6,2.0,0.49015523509333336
131,131.0,0.0,0.0,1.0,10.0,1.0,0.7000000000000002,2.0,0.44282634623999995
