,Unnamed: 0,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.5,0.0,0.0,1.0,2.0,1.0,0.0,10.0,0.4709750468449999
1,1.0,0.0,0.0,1.0,2.0,1.0,0.0999999999999999,10.0,0.44884733318666664
2,2.0,0.0,0.0,1.0,2.0,1.0,0.1999999999999999,10.0,0.46345474131333325
3,3.0,0.0,0.0,1.0,2.0,1.0,0.3,10.0,0.4531473383166667
4,4.0,0.0,0.0,1.0,2.0,1.0,0.3999999999999999,10.0,0.45898226221
5,5.0,0.0,0.0,1.0,2.0,1.0,0.5,10.0,0.42698084432333333
6,6.0,0.0,0.0,1.0,2.0,1.0,0.6,10.0,0.3555930713566667
7,7.0,0.0,0.0,1.0,2.0,1.0,0.7000000000000002,10.0,0.35532041005333337
8,8.0,0.0,0.0,1.0,2.0,1.0,0.7999999999999998,10.0,0.3557893539166667
9,9.0,0.0,0.0,1.0,2.0,1.0,0.9000000000000005,10.0,0.39924443761
10,10.0,0.0,0.0,1.0,2.0,1.0,1.0,10.0,0.3303761126833334
11,11.0,0.0,0.0,1.0,2.0,1.0,1.0999999999999996,10.0,0.3107681063500001
12,12.0,0.0,0.0,1.0,2.0,1.0,1.2,10.0,0.2670506891766667
13,13.0,0.0,0.0,1.0,2.0,1.0,1.3000000000000005,10.0,0.2406920115233334
14,14.0,0.0,0.0,1.0,2.0,1.0,1.4000000000000004,10.0,0.24856953060666673
15,15.0,0.0,0.0,1.0,2.0,1.0,1.5,10.0,0.16105593413666672
16,16.0,0.0,0.0,1.0,2.0,1.0,1.5999999999999996,10.0,0.18526033331333336
17,17.0,0.0,0.0,1.0,2.0,1.0,1.699999999999999,10.0,0.14854033460666666
18,18.0,0.0,0.0,1.0,2.0,1.0,1.800000000000001,10.0,0.17909616576
19,19.0,0.0,0.0,1.0,2.0,1.0,1.9,10.0,0.1823341698833334
20,20.0,0.0,0.0,1.0,2.0,1.0,2.0,10.0,0.1661122714300001
21,21.0,0.0,0.0,1.0,2.0,1.0,2.1,10.0,0.1800085081900001
22,22.0,0.0,0.0,1.0,2.0,1.0,2.1999999999999997,10.0,0.14618250463000007
23,23.0,0.0,0.0,1.0,2.0,1.0,2.3000000000000007,10.0,0.14456735138666674
24,24.0,0.0,0.0,1.0,2.0,1.0,2.4,10.0,0.13330611499000009
25,25.0,0.0,0.0,1.0,2.0,1.0,2.5,10.0,0.16254827192666674
26,26.0,0.0,0.0,1.0,2.0,1.0,2.6000000000000005,10.0,0.19304586899
27,27.0,0.0,0.0,1.0,2.0,1.0,2.6999999999999997,10.0,0.2197878453266667
28,28.0,0.0,0.0,1.0,2.0,1.0,2.8000000000000007,10.0,0.17334044261000006
29,29.0,0.0,0.0,1.0,2.0,1.0,2.899999999999998,10.0,0.12465447936000008
30,29.5,0.0,0.0,1.0,2.0,1.0,3.0,10.0,0.07223113302500014
31,31.5,0.0,0.0,1.0,4.0,1.0,0.0,10.0,0.649943633565
32,32.0,0.0,0.0,1.0,4.0,1.0,0.0999999999999999,10.0,0.6507582728566667
33,33.0,0.0,0.0,1.0,4.0,1.0,0.1999999999999999,10.0,0.6373032955800001
34,34.0,0.0,0.0,1.0,4.0,1.0,0.3,10.0,0.7136880036866667
35,35.0,0.0,0.0,1.0,4.0,1.0,0.3999999999999999,10.0,0.7082847593066667
36,36.0,0.0,0.0,1.0,4.0,1.0,0.5,10.0,0.68764989495
37,37.0,0.0,0.0,1.0,4.0,1.0,0.6,10.0,0.5916648034866666
38,38.0,0.0,0.0,1.0,4.0,1.0,0.7000000000000002,10.0,0.5412525361533334
39,39.0,0.0,0.0,1.0,4.0,1.0,0.7999999999999998,10.0,0.51403579112
40,40.0,0.0,0.0,1.0,4.0,1.0,0.9000000000000005,10.0,0.5076263758733334
41,41.0,0.0,0.0,1.0,4.0,1.0,1.0,10.0,0.49842124606666677
42,42.0,0.0,0.0,1.0,4.0,1.0,1.0999999999999996,10.0,0.51152004232
43,43.0,0.0,0.0,1.0,4.0,1.0,1.2,10.0,0.4824179510300001
44,44.0,0.0,0.0,1.0,4.0,1.0,1.3000000000000005,10.0,0.4534242330466667
45,45.0,0.0,0.0,1.0,4.0,1.0,1.4000000000000004,10.0,0.41237227611666666
46,46.0,0.0,0.0,1.0,4.0,1.0,1.5,10.0,0.4102608311233333
47,47.0,0.0,0.0,1.0,4.0,1.0,1.5999999999999996,10.0,0.4058534527866666
48,48.0,0.0,0.0,1.0,4.0,1.0,1.699999999999999,10.0,0.39667953032666664
49,49.0,0.0,0.0,1.0,4.0,1.0,1.800000000000001,10.0,0.3631473454566667
50,50.0,0.0,0.0,1.0,4.0,1.0,1.9,10.0,0.38076206151
51,51.0,0.0,0.0,1.0,4.0,1.0,2.0,10.0,0.3151905771466667
