,Unnamed: 0,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.5,0.0,0.0,1.0,2.0,1.0,0.0,20.0,0.36229407645999995
1,1.0,0.0,0.0,1.0,2.0,1.0,0.0999999999999999,20.0,0.3884688575433333
2,2.0,0.0,0.0,1.0,2.0,1.0,0.1999999999999999,20.0,0.43036835530333334
3,3.0,0.0,0.0,1.0,2.0,1.0,0.3,20.0,0.46182694311
4,4.0,0.0,0.0,1.0,2.0,1.0,0.3999999999999999,20.0,0.3997751652366666
5,5.0,0.0,0.0,1.0,2.0,1.0,0.5,20.0,0.36134658486999993
6,6.0,0.0,0.0,1.0,2.0,1.0,0.6,20.0,0.34077521713666664
7,7.0,0.0,0.0,1.0,2.0,1.0,0.7000000000000002,20.0,0.40308266438666657
8,8.0,0.0,0.0,1.0,2.0,1.0,0.7999999999999998,20.0,0.3663002307166667
9,9.0,0.0,0.0,1.0,2.0,1.0,0.9000000000000005,20.0,0.4181876704033333
10,10.0,0.0,0.0,1.0,2.0,1.0,1.0,20.0,0.37217309923
11,11.0,0.0,0.0,1.0,2.0,1.0,1.0999999999999996,20.0,0.37495017247
12,12.0,0.0,0.0,1.0,2.0,1.0,1.2,20.0,0.29547578823333337
13,13.0,0.0,0.0,1.0,2.0,1.0,1.3000000000000005,20.0,0.24051676631666666
14,14.0,0.0,0.0,1.0,2.0,1.0,1.4000000000000004,20.0,0.19855396114666668
15,15.0,0.0,0.0,1.0,2.0,1.0,1.5,20.0,0.2053221293833333
16,16.0,0.0,0.0,1.0,2.0,1.0,1.5999999999999996,20.0,0.23499669364
17,17.0,0.0,0.0,1.0,2.0,1.0,1.699999999999999,20.0,0.2025580526733333
18,18.0,0.0,0.0,1.0,2.0,1.0,1.800000000000001,20.0,0.17428212992666667
19,19.0,0.0,0.0,1.0,2.0,1.0,1.9,20.0,0.19125369446999999
20,20.0,0.0,0.0,1.0,2.0,1.0,2.0,20.0,0.22253273987999997
21,21.0,0.0,0.0,1.0,2.0,1.0,2.1,20.0,0.20558226478666666
22,22.0,0.0,0.0,1.0,2.0,1.0,2.1999999999999997,20.0,0.16021753286666662
23,23.0,0.0,0.0,1.0,2.0,1.0,2.3000000000000007,20.0,0.12147139639
24,24.0,0.0,0.0,1.0,2.0,1.0,2.4,20.0,0.12990408026
25,25.0,0.0,0.0,1.0,2.0,1.0,2.5,20.0,0.10553943107666663
26,26.0,0.0,0.0,1.0,2.0,1.0,2.6000000000000005,20.0,0.08266065608666663
27,27.0,0.0,0.0,1.0,2.0,1.0,2.6999999999999997,20.0,0.1012857322466666
28,28.0,0.0,0.0,1.0,2.0,1.0,2.8000000000000007,20.0,0.09820040420666665
29,29.0,0.0,0.0,1.0,2.0,1.0,2.899999999999998,20.0,0.1224139045233333
30,29.5,0.0,0.0,1.0,2.0,1.0,3.0,20.0,0.085767143435
31,31.5,0.0,0.0,1.0,6.0,1.0,0.0,20.0,0.7662940925349999
32,32.0,0.0,0.0,1.0,6.0,1.0,0.0999999999999999,20.0,0.8229833323199999
33,33.0,0.0,0.0,1.0,6.0,1.0,0.1999999999999999,20.0,0.8893020719899999
34,34.0,0.0,0.0,1.0,6.0,1.0,0.3,20.0,0.8934425506166667
35,35.0,0.0,0.0,1.0,6.0,1.0,0.3999999999999999,20.0,0.8800992319933334
36,36.0,0.0,0.0,1.0,6.0,1.0,0.5,20.0,0.8705404464000001
37,37.0,0.0,0.0,1.0,6.0,1.0,0.6,20.0,0.8560321544333332
38,38.0,0.0,0.0,1.0,6.0,1.0,0.7000000000000002,20.0,0.83948219966
39,39.0,0.0,0.0,1.0,6.0,1.0,0.7999999999999998,20.0,0.7932693731233335
40,40.0,0.0,0.0,1.0,6.0,1.0,0.9000000000000005,20.0,0.8075330537733333
41,41.0,0.0,0.0,1.0,6.0,1.0,1.0,20.0,0.7039963109533334
42,42.0,0.0,0.0,1.0,6.0,1.0,1.0999999999999996,20.0,0.5991229357833333
43,43.0,0.0,0.0,1.0,6.0,1.0,1.2,20.0,0.5059471557866667
44,44.0,0.0,0.0,1.0,6.0,1.0,1.3000000000000005,20.0,0.5047578152833333
45,45.0,0.0,0.0,1.0,6.0,1.0,1.4000000000000004,20.0,0.49934854111666666
46,46.0,0.0,0.0,1.0,6.0,1.0,1.5,20.0,0.46478788832666657
47,47.0,0.0,0.0,1.0,6.0,1.0,1.5999999999999996,20.0,0.42212242193333327
48,48.0,0.0,0.0,1.0,6.0,1.0,1.699999999999999,20.0,0.45514855892333334
49,49.0,0.0,0.0,1.0,6.0,1.0,1.800000000000001,20.0,0.41303798423666666
50,50.0,0.0,0.0,1.0,6.0,1.0,1.9,20.0,0.37993059548666674
51,51.0,0.0,0.0,1.0,6.0,1.0,2.0,20.0,0.3393644223266666
52,52.0,0.0,0.0,1.0,6.0,1.0,2.1,20.0,0.3653946272
53,53.0,0.0,0.0,1.0,6.0,1.0,2.1999999999999997,20.0,0.3628721694333333
54,54.0,0.0,0.0,1.0,6.0,1.0,2.3000000000000007,20.0,0.33830020374666664
55,55.0,0.0,0.0,1.0,6.0,1.0,2.4,20.0,0.30891537836333327
56,56.0,0.0,0.0,1.0,6.0,1.0,2.5,20.0,0.29907374645999996
57,57.0,0.0,0.0,1.0,6.0,1.0,2.6000000000000005,20.0,0.28541464390666665
58,58.0,0.0,0.0,1.0,6.0,1.0,2.6999999999999997,20.0,0.29153855717666666
59,59.0,0.0,0.0,1.0,6.0,1.0,2.8000000000000007,20.0,0.28680752680333327
60,60.0,0.0,0.0,1.0,6.0,1.0,2.899999999999998,20.0,0.24481972559333331
61,60.5,0.0,0.0,1.0,6.0,1.0,3.0,20.0,0.20831446791499994
62,62.5,0.0,0.0,1.0,4.0,1.0,0.0,20.0,0.8012473514600001
63,63.0,0.0,0.0,1.0,4.0,1.0,0.0999999999999999,20.0,0.7636259862100001
64,64.0,0.0,0.0,1.0,4.0,1.0,0.1999999999999999,20.0,0.76535844495
65,65.0,0.0,0.0,1.0,4.0,1.0,0.3,20.0,0.7385562587000001
66,66.0,0.0,0.0,1.0,4.0,1.0,0.3999999999999999,20.0,0.7518968896099999
67,67.0,0.0,0.0,1.0,4.0,1.0,0.5,20.0,0.7165507399866669
68,68.0,0.0,0.0,1.0,4.0,1.0,0.6,20.0,0.72333144102
69,69.0,0.0,0.0,1.0,4.0,1.0,0.7000000000000002,20.0,0.6677460153533334
70,70.0,0.0,0.0,1.0,4.0,1.0,0.7999999999999998,20.0,0.6450760808966668
71,71.0,0.0,0.0,1.0,4.0,1.0,0.9000000000000005,20.0,0.6129017437933334
72,72.0,0.0,0.0,1.0,4.0,1.0,1.0,20.0,0.6406429331166668
73,73.0,0.0,0.0,1.0,4.0,1.0,1.0999999999999996,20.0,0.61211145999
74,74.0,0.0,0.0,1.0,4.0,1.0,1.2,20.0,0.5421451889266666
75,75.0,0.0,0.0,1.0,4.0,1.0,1.3000000000000005,20.0,0.5057219232333333
76,76.0,0.0,0.0,1.0,4.0,1.0,1.4000000000000004,20.0,0.50352314863
77,77.0,0.0,0.0,1.0,4.0,1.0,1.5,20.0,0.4581118418333334
78,78.0,0.0,0.0,1.0,4.0,1.0,1.5999999999999996,20.0,0.4058222615766667
79,79.0,0.0,0.0,1.0,4.0,1.0,1.699999999999999,20.0,0.3671342060233333
80,80.0,0.0,0.0,1.0,4.0,1.0,1.800000000000001,20.0,0.37020471997
81,81.0,0.0,0.0,1.0,4.0,1.0,1.9,20.0,0.3464956063966666
82,82.0,0.0,0.0,1.0,4.0,1.0,2.0,20.0,0.31912906903333327
83,83.0,0.0,0.0,1.0,4.0,1.0,2.1,20.0,0.30841728188999995
84,84.0,0.0,0.0,1.0,4.0,1.0,2.1999999999999997,20.0,0.26118917931
85,85.0,0.0,0.0,1.0,4.0,1.0,2.3000000000000007,20.0,0.25934828305666663
86,86.0,0.0,0.0,1.0,4.0,1.0,2.4,20.0,0.24795200141666662
87,87.0,0.0,0.0,1.0,4.0,1.0,2.5,20.0,0.25935868909666665
