,Unnamed: 0,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.5,0.0,0.0,1.0,2.0,1.0,0.0,5.0,0.27015003741999993
1,1.0,0.0,0.0,1.0,2.0,1.0,0.0999999999999999,5.0,0.31292332134999995
2,2.0,0.0,0.0,1.0,2.0,1.0,0.1999999999999999,5.0,0.32579135110999996
3,3.0,0.0,0.0,1.0,2.0,1.0,0.3,5.0,0.3447240771533333
4,4.0,0.0,0.0,1.0,2.0,1.0,0.3999999999999999,5.0,0.32592053412999994
5,5.0,0.0,0.0,1.0,2.0,1.0,0.5,5.0,0.33797987525333334
6,6.0,0.0,0.0,1.0,2.0,1.0,0.6,5.0,0.33004554969999994
7,7.0,0.0,0.0,1.0,2.0,1.0,0.7000000000000002,5.0,0.3587721389433333
8,8.0,0.0,0.0,1.0,2.0,1.0,0.7999999999999998,5.0,0.3742162362366666
9,9.0,0.0,0.0,1.0,2.0,1.0,0.9000000000000005,5.0,0.33594376972666656
10,10.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,0.26235691562999996
11,11.0,0.0,0.0,1.0,2.0,1.0,1.0999999999999996,5.0,0.20778633232333332
12,12.0,0.0,0.0,1.0,2.0,1.0,1.2,5.0,0.22729668097000003
13,13.0,0.0,0.0,1.0,2.0,1.0,1.3000000000000005,5.0,0.24836900201666667
14,14.0,0.0,0.0,1.0,2.0,1.0,1.4000000000000004,5.0,0.27269694041333337
15,15.0,0.0,0.0,1.0,2.0,1.0,1.5,5.0,0.24052323219666663
16,16.0,0.0,0.0,1.0,2.0,1.0,1.5999999999999996,5.0,0.2181128482933333
17,17.0,0.0,0.0,1.0,2.0,1.0,1.699999999999999,5.0,0.20979779779999996
18,18.0,0.0,0.0,1.0,2.0,1.0,1.800000000000001,5.0,0.23392227335666668
19,19.0,0.0,0.0,1.0,2.0,1.0,1.9,5.0,0.20757637501333334
20,20.0,0.0,0.0,1.0,2.0,1.0,2.0,5.0,0.17056313114666663
21,21.0,0.0,0.0,1.0,2.0,1.0,2.1,5.0,0.1190967245633333
22,22.0,0.0,0.0,1.0,2.0,1.0,2.1999999999999997,5.0,0.09047290055666661
23,23.0,0.0,0.0,1.0,2.0,1.0,2.3000000000000007,5.0,0.08526223820999994
