[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,1,2,TRUE,0,40,1.289304031
16,0,0,1,2,TRUE,0.1,40,0.919700527
2,0,0,1,4,TRUE,0,40,0.465896297
3,0,0,1,6,TRUE,0,40,1.95916426
17,0,0,1,4,TRUE,0.1,40,0.387985386
4,0,0,1,8,TRUE,0,40,0.615700079
5,0,0,1,10,TRUE,0,40,0.928976233
18,0,0,1,6,TRUE,0.1,40,1.890617396
8,0,0,1,16,TRUE,0,40,0.97235049
10,0,0,1,20,TRUE,0,40,0.78305951
12,0,0,1,24,TRUE,0,40,0.959428594
11,0,0,1,22,TRUE,0,40,0.662867224
7,0,0,1,14,TRUE,0,40,0.966034218
6,0,0,1,12,TRUE,0,40,0.484737407
9,0,0,1,18,TRUE,0,40,0.776954324
19,0,0,1,8,TRUE,0.1,40,0.946521602
13,0,0,1,26,TRUE,0,40,0.790659694
14,0,0,1,28,TRUE,0,40,0.770876315
20,0,0,1,10,TRUE,0.1,40,0.865941301
21,0,0,1,12,TRUE,0.1,40,0.620366184
15,0,0,1,30,TRUE,0,40,0.621750231
31,0,0,1,2,TRUE,0.2,40,1.001245711
22,0,0,1,14,TRUE,0.1,40,0.972270023
24,0,0,1,18,TRUE,0.1,40,1.292940683
33,0,0,1,6,TRUE,0.2,40,0.742096509
32,0,0,1,4,TRUE,0.2,40,1.576914291
25,0,0,1,20,TRUE,0.1,40,0.907750452
23,0,0,1,16,TRUE,0.1,40,1.073992419
26,0,0,1,22,TRUE,0.1,40,0.849743561
36,0,0,1,12,TRUE,0.2,40,0.959439627
35,0,0,1,10,TRUE,0.2,40,0.460040621
27,0,0,1,24,TRUE,0.1,40,0.672867687
28,0,0,1,26,TRUE,0.1,40,0.770551023
34,0,0,1,8,TRUE,0.2,40,0.711234641
46,0,0,1,2,TRUE,0.3,40,0.655745723
37,0,0,1,14,TRUE,0.2,40,0.767675431
47,0,0,1,4,TRUE,0.3,40,1.099528752
38,0,0,1,16,TRUE,0.2,40,0.800133898
29,0,0,1,28,TRUE,0.1,40,1.0639166
48,0,0,1,6,TRUE,0.3,40,0.991220663
49,0,0,1,8,TRUE,0.3,40,1.256866698
30,0,0,1,30,TRUE,0.1,40,0.998883672
40,0,0,1,20,TRUE,0.2,40,1.111654754
39,0,0,1,18,TRUE,0.2,40,1.463157123
50,0,0,1,10,TRUE,0.3,40,1.331904483
51,0,0,1,12,TRUE,0.3,40,0.846134406
41,0,0,1,22,TRUE,0.2,40,0.74263482
43,0,0,1,26,TRUE,0.2,40,1.02729493
42,0,0,1,24,TRUE,0.2,40,1.24704982
52,0,0,1,14,TRUE,0.3,40,1.077030483
53,0,0,1,16,TRUE,0.3,40,0.814424966
62,0,0,1,4,TRUE,0.4,40,1.136271989
45,0,0,1,30,TRUE,0.2,40,1.08606717
63,0,0,1,6,TRUE,0.4,40,1.88379439
44,0,0,1,28,TRUE,0.2,40,1.136963038
54,0,0,1,18,TRUE,0.3,40,0.882956255
61,0,0,1,2,TRUE,0.4,40,-0.810281583
55,0,0,1,20,TRUE,0.3,40,1.446167719
56,0,0,1,22,TRUE,0.3,40,1.336828935
64,0,0,1,8,TRUE,0.4,40,-0.204152119
57,0,0,1,24,TRUE,0.3,40,1.370681914
65,0,0,1,10,TRUE,0.4,40,1.187638624
59,0,0,1,28,TRUE,0.3,40,1.311080729
66,0,0,1,12,TRUE,0.4,40,1.684989014
67,0,0,1,14,TRUE,0.4,40,0.76790864
58,0,0,1,26,TRUE,0.3,40,1.353187133
68,0,0,1,16,TRUE,0.4,40,1.219567174
77,0,0,1,4,TRUE,0.5,40,0.441102163
69,0,0,1,18,TRUE,0.4,40,1.236272292
76,0,0,1,2,TRUE,0.5,40,-1.413612632
60,0,0,1,30,TRUE,0.3,40,1.167080595
70,0,0,1,20,TRUE,0.4,40,0.749573253
78,0,0,1,6,TRUE,0.5,40,0.709778243
79,0,0,1,8,TRUE,0.5,40,0.18880626
81,0,0,1,12,TRUE,0.5,40,1.775230167
71,0,0,1,22,TRUE,0.4,40,1.136808432
72,0,0,1,24,TRUE,0.4,40,1.15977851
80,0,0,1,10,TRUE,0.5,40,1.887253345
83,0,0,1,16,TRUE,0.5,40,0.938303304
73,0,0,1,26,TRUE,0.4,40,1.100298249
75,0,0,1,30,TRUE,0.4,40,1.356007837
74,0,0,1,28,TRUE,0.4,40,1.273066102
82,0,0,1,14,TRUE,0.5,40,1.240711606
84,0,0,1,18,TRUE,0.5,40,0.835466361
91,0,0,1,2,TRUE,0.6,40,-0.872841606
93,0,0,1,6,TRUE,0.6,40,1.266620634
85,0,0,1,20,TRUE,0.5,40,1.442059418
92,0,0,1,4,TRUE,0.6,40,-0.304843601
86,0,0,1,22,TRUE,0.5,40,1.503129715
94,0,0,1,8,TRUE,0.6,40,0.002330317
95,0,0,1,10,TRUE,0.6,40,1.224277276
87,0,0,1,24,TRUE,0.5,40,1.428137501
88,0,0,1,26,TRUE,0.5,40,1.37313428
97,0,0,1,14,TRUE,0.6,40,1.308172435
96,0,0,1,12,TRUE,0.6,40,1.01015993
89,0,0,1,28,TRUE,0.5,40,1.266273189
107,0,0,1,4,TRUE,0.7,40,1.708164675
106,0,0,1,2,TRUE,0.7,40,0.324418062
90,0,0,1,30,TRUE,0.5,40,1.221049122
98,0,0,1,16,TRUE,0.6,40,0.580514578
99,0,0,1,18,TRUE,0.6,40,0.971072969
108,0,0,1,6,TRUE,0.7,40,1.452720716
100,0,0,1,20,TRUE,0.6,40,1.379657048
101,0,0,1,22,TRUE,0.6,40,0.720109749
109,0,0,1,8,TRUE,0.7,40,0.752621743
102,0,0,1,24,TRUE,0.6,40,1.248866425
110,0,0,1,10,TRUE,0.7,40,1.142876363
103,0,0,1,26,TRUE,0.6,40,1.419154363
113,0,0,1,16,TRUE,0.7,40,1.253539766
104,0,0,1,28,TRUE,0.6,40,1.277105144
111,0,0,1,12,TRUE,0.7,40,0.549465021
112,0,0,1,14,TRUE,0.7,40,0.245547625
121,0,0,1,2,TRUE,0.8,40,1.198496713
105,0,0,1,30,TRUE,0.6,40,1.472100803
123,0,0,1,6,TRUE,0.8,40,1.300347417
114,0,0,1,18,TRUE,0.7,40,1.1907169
122,0,0,1,4,TRUE,0.8,40,0.75035982
115,0,0,1,20,TRUE,0.7,40,-0.136454594
124,0,0,1,8,TRUE,0.8,40,1.253719926
125,0,0,1,10,TRUE,0.8,40,1.331625405
116,0,0,1,22,TRUE,0.7,40,2.188558287
119,0,0,1,28,TRUE,0.7,40,1.460058202
117,0,0,1,24,TRUE,0.7,40,1.275010397
118,0,0,1,26,TRUE,0.7,40,0.714916703
120,0,0,1,30,TRUE,0.7,40,1.961811626
136,0,0,1,2,TRUE,0.9,40,-0.135775825
129,0,0,1,18,TRUE,0.8,40,1.483601722
127,0,0,1,14,TRUE,0.8,40,0.631374251
126,0,0,1,12,TRUE,0.8,40,0.249698057
130,0,0,1,20,TRUE,0.8,40,0.8507874
128,0,0,1,16,TRUE,0.8,40,1.067782114
137,0,0,1,4,TRUE,0.9,40,1.151267342
138,0,0,1,6,TRUE,0.9,40,0.342968855
131,0,0,1,22,TRUE,0.8,40,1.267009038
139,0,0,1,8,TRUE,0.9,40,1.548884621
142,0,0,1,14,TRUE,0.9,40,1.337682523
134,0,0,1,28,TRUE,0.8,40,1.233559904
140,0,0,1,10,TRUE,0.9,40,0.927313896
141,0,0,1,12,TRUE,0.9,40,-0.02732194
135,0,0,1,30,TRUE,0.8,40,1.733411684
133,0,0,1,26,TRUE,0.8,40,0.929280977
132,0,0,1,24,TRUE,0.8,40,1.610677282
