[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,1,2,TRUE,0,80,0.073767987
3,0,0,1,6,TRUE,0,80,0.894666052
16,0,0,1,2,TRUE,0.1,80,-0.096168659
4,0,0,1,8,TRUE,0,80,0.891792443
2,0,0,1,4,TRUE,0,80,0.379215349
5,0,0,1,10,TRUE,0,80,0.653887175
6,0,0,1,12,TRUE,0,80,0.809450521
17,0,0,1,4,TRUE,0.1,80,0.530541634
7,0,0,1,14,TRUE,0,80,0.684618263
12,0,0,1,24,TRUE,0,80,0.548444489
14,0,0,1,28,TRUE,0,80,0.962856941
8,0,0,1,16,TRUE,0,80,1.058262722
9,0,0,1,18,TRUE,0,80,0.821302661
19,0,0,1,8,TRUE,0.1,80,0.900239078
10,0,0,1,20,TRUE,0,80,1.105316241
20,0,0,1,10,TRUE,0.1,80,0.827816616
18,0,0,1,6,TRUE,0.1,80,-0.46361783
11,0,0,1,22,TRUE,0,80,0.652095616
13,0,0,1,26,TRUE,0,80,0.719195366
21,0,0,1,12,TRUE,0.1,80,0.884113154
23,0,0,1,16,TRUE,0.1,80,1.31441736
15,0,0,1,30,TRUE,0,80,0.61507955
22,0,0,1,14,TRUE,0.1,80,0.966934357
31,0,0,1,2,TRUE,0.2,80,0.686610253
32,0,0,1,4,TRUE,0.2,80,0.789035576
24,0,0,1,18,TRUE,0.1,80,0.978049772
33,0,0,1,6,TRUE,0.2,80,1.177184632
26,0,0,1,22,TRUE,0.1,80,1.001073218
34,0,0,1,8,TRUE,0.2,80,1.332940948
25,0,0,1,20,TRUE,0.1,80,0.974121839
36,0,0,1,12,TRUE,0.2,80,1.277600717
35,0,0,1,10,TRUE,0.2,80,1.299486087
27,0,0,1,24,TRUE,0.1,80,0.981223339
37,0,0,1,14,TRUE,0.2,80,1.041457049
30,0,0,1,30,TRUE,0.1,80,1.096662568
28,0,0,1,26,TRUE,0.1,80,1.312663597
46,0,0,1,2,TRUE,0.3,80,0.84542742
47,0,0,1,4,TRUE,0.3,80,1.429739084
29,0,0,1,28,TRUE,0.1,80,0.911207362
39,0,0,1,18,TRUE,0.2,80,1.012906261
38,0,0,1,16,TRUE,0.2,80,1.048091909
