,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.0,0.0,1.0,2.0,1.0,0.0,80.0,0.41448620711000006
1,0.0,0.0,1.0,2.0,1.0,0.09999999999999998,80.0,0.29265353804000005
2,0.0,0.0,1.0,2.0,1.0,0.19999999999999996,80.0,0.40068139592
3,0.0,0.0,1.0,2.0,1.0,0.3,80.0,0.4918880031300001
4,0.0,0.0,1.0,2.0,1.0,0.3999999999999999,80.0,0.28353807
5,0.0,0.0,1.0,2.0,1.0,0.5,80.0,0.2983416187800001
6,0.0,0.0,1.0,2.0,1.0,0.6,80.0,0.4427780433200001
7,0.0,0.0,1.0,2.0,1.0,0.7000000000000002,80.0,0.34148232141000007
8,0.0,0.0,1.0,2.0,1.0,0.7999999999999998,80.0,0.20813562654999998
9,0.0,0.0,1.0,2.0,1.0,0.9000000000000005,80.0,0.47851092653000005
10,0.0,0.0,1.0,2.0,1.0,1.0,80.0,0.15551031856000003
11,0.0,0.0,1.0,2.0,1.0,1.0999999999999996,80.0,0.19456808865000003
12,0.0,0.0,1.0,2.0,1.0,1.2,80.0,0.31882368147
13,0.0,0.0,1.0,2.0,1.0,1.3000000000000003,80.0,0.20959387458
14,0.0,0.0,1.0,2.0,1.0,1.4000000000000004,80.0,0.20322429734
15,0.0,0.0,1.0,2.0,1.0,1.5,80.0,0.36459561145999997
16,0.0,0.0,1.0,2.0,1.0,1.5999999999999996,80.0,0.16002985633000003
17,0.0,0.0,1.0,2.0,1.0,1.699999999999999,80.0,0.27955404346999996
18,0.0,0.0,1.0,2.0,1.0,1.800000000000001,80.0,0.2469214256
19,0.0,0.0,1.0,2.0,1.0,1.9,80.0,0.42889006559000004
20,0.0,0.0,1.0,2.0,1.0,2.0,80.0,0.10362593343999998
21,0.0,0.0,1.0,2.0,1.0,2.1,80.0,0.19441639759
22,0.0,0.0,1.0,2.0,1.0,2.1999999999999993,80.0,0.25036729700000004
23,0.0,0.0,1.0,2.0,1.0,2.3000000000000007,80.0,0.16046358788000004
24,0.0,0.0,1.0,2.0,1.0,2.4,80.0,0.35397183378999997
25,0.0,0.0,1.0,2.0,1.0,2.5,80.0,0.22993244158000004
26,0.0,0.0,1.0,2.0,1.0,2.6000000000000005,80.0,0.05321452679000003
27,0.0,0.0,1.0,2.0,1.0,2.6999999999999993,80.0,0.0829432552
28,0.0,0.0,1.0,2.0,1.0,2.8000000000000007,80.0,0.04153663415
29,0.0,0.0,1.0,2.0,1.0,2.899999999999998,80.0,0.13475569038
30,0.0,0.0,1.0,2.0,1.0,3.0,80.0,0.21161359529000007
31,0.0,0.0,1.0,6.0,1.0,0.0,80.0,0.7081994830499998
32,0.0,0.0,1.0,6.0,1.0,0.09999999999999998,80.0,0.8445333811800001
33,0.0,0.0,1.0,6.0,1.0,0.19999999999999996,80.0,0.9946158310100001
34,0.0,0.0,1.0,6.0,1.0,0.3,80.0,1.0651519344900002
35,0.0,0.0,1.0,6.0,1.0,0.3999999999999999,80.0,1.1607574244
36,0.0,0.0,1.0,6.0,1.0,0.5,80.0,1.13846179589
37,0.0,0.0,1.0,6.0,1.0,0.6,80.0,1.02529274284
38,0.0,0.0,1.0,6.0,1.0,0.7000000000000002,80.0,0.8877980886799999
