,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.0,0.0,100.0,2.0,0.0,0.0,20.0,50.0
1,0.0,0.0,100.0,2.0,0.0,10.0,20.0,50.0
2,0.0,0.0,100.0,2.0,0.0,20.0,20.0,49.4067952246
3,0.0,0.0,100.0,2.0,0.0,30.0,20.0,45.199265380399986
4,0.0,0.0,100.0,2.0,0.0,40.0,20.0,39.7814508724
5,0.0,0.0,100.0,2.0,0.0,50.0,20.0,34.2369146008
6,0.0,0.0,100.0,2.0,0.0,60.0,20.0,29.952249771200005
7,0.0,0.0,100.0,2.0,0.0,70.0,20.0,25.977961432200004
8,0.0,0.0,100.0,2.0,0.0,80.0,20.0,23.2800734614
9,0.0,0.0,100.0,2.0,0.0,90.0,20.0,20.6225895324
10,0.0,0.0,100.0,2.0,0.0,100.0,20.0,19.050505050399998
11,0.0,0.0,100.0,6.0,0.0,0.0,20.0,29.937924701600004
12,0.0,0.0,100.0,6.0,0.0,10.0,20.0,38.0102846646
13,0.0,0.0,100.0,6.0,0.0,20.0,20.0,39.094214876399995
14,0.0,0.0,100.0,6.0,0.0,30.0,20.0,32.5638200192
15,0.0,0.0,100.0,6.0,0.0,40.0,20.0,25.3160697892
16,0.0,0.0,100.0,6.0,0.0,50.0,20.0,19.766023875
17,0.0,0.0,100.0,6.0,0.0,60.0,20.0,16.3904499542
18,0.0,0.0,100.0,6.0,0.0,70.0,20.0,13.914784205599998
19,0.0,0.0,100.0,6.0,0.0,80.0,20.0,11.7561065206
20,0.0,0.0,100.0,6.0,0.0,90.0,20.0,10.914967860500001
21,0.0,0.0,100.0,6.0,0.0,100.0,20.0,9.51184572978
22,0.0,0.0,100.0,4.0,0.0,0.0,20.0,33.2941536574
23,0.0,0.0,100.0,4.0,0.0,10.0,20.0,38.3201714106
24,0.0,0.0,100.0,4.0,0.0,20.0,20.0,44.315273952400005
25,0.0,0.0,100.0,4.0,0.0,30.0,20.0,37.2819100092
26,0.0,0.0,100.0,4.0,0.0,40.0,20.0,28.937251301
27,0.0,0.0,100.0,4.0,0.0,50.0,20.0,23.215794306400003
28,0.0,0.0,100.0,4.0,0.0,60.0,20.0,19.3449647998
29,0.0,0.0,100.0,4.0,0.0,70.0,20.0,16.2069176614
30,0.0,0.0,100.0,4.0,0.0,80.0,20.0,14.171411081
31,0.0,0.0,100.0,4.0,0.0,90.0,20.0,12.950107131599998
32,0.0,0.0,100.0,4.0,0.0,100.0,20.0,11.254973982420001
33,0.0,0.0,100.0,8.0,0.0,0.0,20.0,28.515020333599995
34,0.0,0.0,100.0,8.0,0.0,10.0,20.0,35.7725304994
35,0.0,0.0,100.0,8.0,0.0,20.0,20.0,37.32939787480001
36,0.0,0.0,100.0,8.0,0.0,30.0,20.0,30.256591892600003
37,0.0,0.0,100.0,8.0,0.0,40.0,20.0,23.178013905000004
