,influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
0,0.0,0.0,100.0,2.0,0.0,0.0,10.0,49.961432508
1,0.0,0.0,100.0,2.0,0.0,10.0,10.0,49.952249771400005
2,0.0,0.0,100.0,2.0,0.0,20.0,10.0,49.3039485756
3,0.0,0.0,100.0,2.0,0.0,30.0,10.0,45.030303029799995
4,0.0,0.0,100.0,2.0,0.0,40.0,10.0,39.153351698600005
5,0.0,0.0,100.0,2.0,0.0,50.0,10.0,34.1267217628
6,0.0,0.0,100.0,2.0,0.0,60.0,10.0,29.6584022042
7,0.0,0.0,100.0,2.0,0.0,70.0,10.0,26.112029383799996
8,0.0,0.0,100.0,2.0,0.0,80.0,10.0,23.186409549999993
9,0.0,0.0,100.0,2.0,0.0,90.0,10.0,21.089072543999997
10,0.0,0.0,100.0,2.0,0.0,100.0,10.0,19.076216712999997
11,0.0,0.0,100.0,4.0,0.0,0.0,10.0,33.2384450566
12,0.0,0.0,100.0,4.0,0.0,10.0,10.0,35.0829507186
13,0.0,0.0,100.0,4.0,0.0,20.0,10.0,38.432812978200005
14,0.0,0.0,100.0,4.0,0.0,30.0,10.0,33.9522497712
15,0.0,0.0,100.0,4.0,0.0,40.0,10.0,27.4453627178
16,0.0,0.0,100.0,4.0,0.0,50.0,10.0,22.464034282000007
17,0.0,0.0,100.0,4.0,0.0,60.0,10.0,18.667278848800002
18,0.0,0.0,100.0,4.0,0.0,70.0,10.0,15.957759412800003
19,0.0,0.0,100.0,4.0,0.0,80.0,10.0,13.883685338
20,0.0,0.0,100.0,4.0,0.0,90.0,10.0,12.4481175394
21,0.0,0.0,100.0,4.0,0.0,100.0,10.0,11.33149678662
22,0.0,0.0,100.0,6.0,0.0,0.0,10.0,29.9768595046
23,0.0,0.0,100.0,6.0,0.0,10.0,10.0,34.304499541400006
24,0.0,0.0,100.0,6.0,0.0,20.0,10.0,34.556106519400004
25,0.0,0.0,100.0,6.0,0.0,30.0,10.0,29.5166207526
26,0.0,0.0,100.0,6.0,0.0,40.0,10.0,23.717171716999996
