[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
2,0,0,100,4,FALSE,0,2,25.02295684
5,0,0,100,10,FALSE,0,2,20.91113152
1,0,0,100,2,FALSE,0,2,39.16437098
16,0,0,100,2,FALSE,10,2,39.25619835
17,0,0,100,4,FALSE,10,2,25.20661157
7,0,0,100,14,FALSE,0,2,20.820089
6,0,0,100,12,FALSE,0,2,20.33976125
4,0,0,100,8,FALSE,0,2,22.0320084
3,0,0,100,6,FALSE,0,2,22.48852158
18,0,0,100,6,FALSE,10,2,22.91092746
8,0,0,100,16,FALSE,0,2,20.11937557
12,0,0,100,24,FALSE,0,2,19.81275203
9,0,0,100,18,FALSE,0,2,20.44779344
19,0,0,100,8,FALSE,10,2,20.56277056
20,0,0,100,10,FALSE,10,2,20.24793388
10,0,0,100,20,FALSE,0,2,18.49838094
21,0,0,100,12,FALSE,10,2,18.9456549
13,0,0,100,26,FALSE,0,2,18.99173554
11,0,0,100,22,FALSE,0,2,19.66198784
22,0,0,100,14,FALSE,10,2,19.72522427
14,0,0,100,28,FALSE,0,2,19.42828963
31,0,0,100,2,FALSE,20,2,38.15426997
32,0,0,100,4,FALSE,20,2,22.9721457
15,0,0,100,30,FALSE,0,2,19.31382793
34,0,0,100,8,FALSE,20,2,18.22773186
23,0,0,100,16,FALSE,10,2,18.12366085
33,0,0,100,6,FALSE,20,2,21.00091827
26,0,0,100,22,FALSE,10,2,17.96536797
28,0,0,100,26,FALSE,10,2,18.01836547
25,0,0,100,20,FALSE,10,2,18.48388188
35,0,0,100,10,FALSE,20,2,17.2788491
41,0,0,100,22,FALSE,20,2,16.3255936
24,0,0,100,18,FALSE,10,2,18.58963971
30,0,0,100,30,FALSE,10,2,19.02568
39,0,0,100,18,FALSE,20,2,17.23383568
37,0,0,100,14,FALSE,20,2,16.66666667
36,0,0,100,12,FALSE,20,2,19.13765757
29,0,0,100,28,FALSE,10,2,17.82301126
38,0,0,100,16,FALSE,20,2,17.37067646
40,0,0,100,20,FALSE,20,2,18.3630564
27,0,0,100,24,FALSE,10,2,19.94849683
51,0,0,100,12,FALSE,30,2,14.07045663
47,0,0,100,4,FALSE,30,2,19.51331497
48,0,0,100,6,FALSE,30,2,16.8503214
44,0,0,100,28,FALSE,20,2,16.52722511
46,0,0,100,2,FALSE,30,2,33.01193756
53,0,0,100,16,FALSE,30,2,14.08937863
