[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,100,2,FALSE,0,10,49.90817264
16,0,0,100,2,FALSE,1,10,49.81634527
2,0,0,100,4,FALSE,0,10,34.57300275
3,0,0,100,6,FALSE,0,10,29.1184573
4,0,0,100,8,FALSE,0,10,28.43368752
5,0,0,100,10,FALSE,0,10,28.44097541
7,0,0,100,14,FALSE,0,10,26.66878576
9,0,0,100,18,FALSE,0,10,25.77378059
17,0,0,100,4,FALSE,1,10,34.2056933
6,0,0,100,12,FALSE,0,10,26.95967944
11,0,0,100,22,FALSE,0,10,26.31728541
12,0,0,100,24,FALSE,0,10,25.6617559
18,0,0,100,6,FALSE,1,10,30.09182736
13,0,0,100,26,FALSE,0,10,25.62901745
8,0,0,100,16,FALSE,0,10,26.70645852
10,0,0,100,20,FALSE,0,10,26.82083998
20,0,0,100,10,FALSE,1,10,27.54310785
19,0,0,100,8,FALSE,1,10,27.55476846
23,0,0,100,16,FALSE,1,10,25.83103765
14,0,0,100,28,FALSE,0,10,25.92422542
24,0,0,100,18,FALSE,1,10,26.11948361
22,0,0,100,14,FALSE,1,10,26.98664971
21,0,0,100,12,FALSE,1,10,26.65080558
31,0,0,100,2,FALSE,2,10,50
27,0,0,100,24,FALSE,1,10,26.25264503
15,0,0,100,30,FALSE,0,10,25.78607391
32,0,0,100,4,FALSE,2,10,32.82828283
28,0,0,100,26,FALSE,1,10,26.18365473
33,0,0,100,6,FALSE,2,10,30.4775023
34,0,0,100,8,FALSE,2,10,28.38121474
25,0,0,100,20,FALSE,1,10,26.14421729
35,0,0,100,10,FALSE,2,10,27.51249872
36,0,0,100,12,FALSE,2,10,27.26020536
26,0,0,100,22,FALSE,1,10,26.28667629
30,0,0,100,30,FALSE,1,10,25.29843893
38,0,0,100,16,FALSE,2,10,26.79216406
29,0,0,100,28,FALSE,1,10,25.86640819
39,0,0,100,18,FALSE,2,10,27.29703452
37,0,0,100,14,FALSE,2,10,27.7495232
41,0,0,100,22,FALSE,2,10,27.59412305
47,0,0,100,4,FALSE,3,10,33.68533823
48,0,0,100,6,FALSE,3,10,30.34894399
40,0,0,100,20,FALSE,2,10,26.18771447
46,0,0,100,2,FALSE,3,10,50
42,0,0,100,24,FALSE,2,10,27.12700124
51,0,0,100,12,FALSE,3,10,28.71274731
49,0,0,100,8,FALSE,3,10,28.94529713
44,0,0,100,28,FALSE,2,10,27.32204197
50,0,0,100,10,FALSE,3,10,28.9409244
43,0,0,100,26,FALSE,2,10,26.70156107
45,0,0,100,30,FALSE,2,10,27.26481112
61,0,0,100,2,FALSE,4,10,50
52,0,0,100,14,FALSE,3,10,28.68898778
53,0,0,100,16,FALSE,3,10,29.05723906
56,0,0,100,22,FALSE,3,10,27.56351393
63,0,0,100,6,FALSE,4,10,29.94490358
64,0,0,100,8,FALSE,4,10,29.40443395
54,0,0,100,18,FALSE,3,10,27.78317939
55,0,0,100,20,FALSE,3,10,27.85510608
57,0,0,100,24,FALSE,3,10,27.85363517
59,0,0,100,28,FALSE,3,10,27.73696562
65,0,0,100,10,FALSE,4,10,29.64493419
62,0,0,100,4,FALSE,4,10,33.04254668
