[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
7,0,0,100,14,FALSE,0,2,19.97245179
3,0,0,100,6,FALSE,0,2,21.73553719
1,0,0,100,2,FALSE,0,2,37.14416896
16,0,0,100,2,FALSE,1,2,37.41965106
2,0,0,100,4,FALSE,0,2,24.01285583
17,0,0,100,4,FALSE,1,2,24.83930211
4,0,0,100,8,FALSE,0,2,21.29738948
9,0,0,100,18,FALSE,0,2,19.27024253
5,0,0,100,10,FALSE,0,2,20.76828895
6,0,0,100,12,FALSE,0,2,19.39644378
18,0,0,100,6,FALSE,1,2,21.99265381
19,0,0,100,8,FALSE,1,2,22.00577201
8,0,0,100,16,FALSE,0,2,21.02540557
10,0,0,100,20,FALSE,0,2,19.65347252
20,0,0,100,10,FALSE,1,2,22.15590246
12,0,0,100,24,FALSE,0,2,18.97432826
21,0,0,100,12,FALSE,1,2,20.84063778
15,0,0,100,30,FALSE,0,2,18.93385263
11,0,0,100,22,FALSE,0,2,21.10498929
14,0,0,100,28,FALSE,0,2,19.37387341
24,0,0,100,18,FALSE,1,2,18.37897694
13,0,0,100,26,FALSE,0,2,20.3067034
22,0,0,100,14,FALSE,1,2,20.67175249
23,0,0,100,16,FALSE,1,2,18.88276706
25,0,0,100,20,FALSE,1,2,18.79319511
27,0,0,100,24,FALSE,1,2,19.9684593
32,0,0,100,4,FALSE,2,2,25.97183961
26,0,0,100,22,FALSE,1,2,19.34715117
36,0,0,100,12,FALSE,2,2,20.57350363
37,0,0,100,14,FALSE,2,2,20.14904288
33,0,0,100,6,FALSE,2,2,21.84573003
28,0,0,100,26,FALSE,1,2,19.34802571
46,0,0,100,2,FALSE,3,2,39.16437098
34,0,0,100,8,FALSE,2,2,21.90082645
29,0,0,100,28,FALSE,1,2,18.3875795
31,0,0,100,2,FALSE,2,2,37.41965106
49,0,0,100,8,FALSE,3,2,23.35694608
38,0,0,100,16,FALSE,2,2,18.16651362
47,0,0,100,4,FALSE,3,2,25.84940312
39,0,0,100,18,FALSE,2,2,19.91303408
45,0,0,100,30,FALSE,2,2,19.64630632
50,0,0,100,10,FALSE,3,2,20.49280686
41,0,0,100,22,FALSE,2,2,20.09488828
44,0,0,100,28,FALSE,2,2,18.94874673
51,0,0,100,12,FALSE,3,2,20.0726271
30,0,0,100,30,FALSE,1,2,19.66530509
35,0,0,100,10,FALSE,2,2,19.32966024
48,0,0,100,6,FALSE,3,2,22.13957759
42,0,0,100,24,FALSE,2,2,18.51119895
53,0,0,100,16,FALSE,3,2,18.85215794
54,0,0,100,18,FALSE,3,2,20.0912872
40,0,0,100,20,FALSE,2,2,18.18906771
