[run number],influence-chance,cell-standard,baseline-dev,nchoices,services-normally-distributed,performance-dev,[step],avesatis
1,0,0,100,2,FALSE,0,5,48.4389348
16,0,0,100,2,FALSE,1,5,48.34710744
3,0,0,100,6,FALSE,0,5,28.45730028
2,0,0,100,4,FALSE,0,5,33.01193756
4,0,0,100,8,FALSE,0,5,27.51541388
5,0,0,100,10,FALSE,0,5,27.18600143
6,0,0,100,12,FALSE,0,5,25.64070457
7,0,0,100,14,FALSE,0,5,26.14607615
12,0,0,100,24,FALSE,0,5,25.12676169
17,0,0,100,4,FALSE,1,5,32.24670952
9,0,0,100,18,FALSE,0,5,26.20590936
8,0,0,100,16,FALSE,0,5,24.43526171
10,0,0,100,20,FALSE,0,5,25.48692668
13,0,0,100,26,FALSE,0,5,25.00091827
18,0,0,100,6,FALSE,1,5,29.26538108
11,0,0,100,22,FALSE,0,5,25.38152084
14,0,0,100,28,FALSE,0,5,24.3835663
15,0,0,100,30,FALSE,0,5,25.38709984
31,0,0,100,2,FALSE,2,5,48.7144169
19,0,0,100,8,FALSE,1,5,27.79089597
26,0,0,100,22,FALSE,1,5,25.5695483
32,0,0,100,4,FALSE,2,5,32.43036425
23,0,0,100,16,FALSE,1,5,26.61463116
27,0,0,100,24,FALSE,1,5,25.67772588
22,0,0,100,14,FALSE,1,5,26.06837607
28,0,0,100,26,FALSE,1,5,25.71349862
20,0,0,100,10,FALSE,1,5,26.26772778
21,0,0,100,12,FALSE,1,5,26.55897821
29,0,0,100,28,FALSE,1,5,25.80518995
30,0,0,100,30,FALSE,1,5,24.86146734
37,0,0,100,14,FALSE,2,5,26.04012149
33,0,0,100,6,FALSE,2,5,28.40220386
25,0,0,100,20,FALSE,1,5,25.65124934
24,0,0,100,18,FALSE,1,5,24.77988441
46,0,0,100,2,FALSE,3,5,47.79614325
39,0,0,100,18,FALSE,2,5,26.72446389
38,0,0,100,16,FALSE,2,5,25.94123049
48,0,0,100,6,FALSE,3,5,29.48576676
35,0,0,100,10,FALSE,2,5,27.83899602
36,0,0,100,12,FALSE,2,5,26.26680023
41,0,0,100,22,FALSE,2,5,25.4864664
34,0,0,100,8,FALSE,2,5,27.39735012
40,0,0,100,20,FALSE,2,5,25.64641632
47,0,0,100,4,FALSE,3,5,32.85889195
42,0,0,100,24,FALSE,2,5,25.68571086
45,0,0,100,30,FALSE,2,5,25.71007884
51,0,0,100,12,FALSE,3,5,26.15827698
44,0,0,100,28,FALSE,2,5,26.22351461
52,0,0,100,14,FALSE,3,5,26.47100374
61,0,0,100,2,FALSE,4,5,48.25528007
49,0,0,100,8,FALSE,3,5,27.26616818
54,0,0,100,18,FALSE,3,5,26.16809809
62,0,0,100,4,FALSE,4,5,32.36914601
57,0,0,100,24,FALSE,3,5,25.75358326
50,0,0,100,10,FALSE,3,5,27.53290481
60,0,0,100,30,FALSE,3,5,25.03878915
53,0,0,100,16,FALSE,3,5,26.64524028
63,0,0,100,6,FALSE,4,5,28.38383838
59,0,0,100,28,FALSE,3,5,25.73376866
66,0,0,100,12,FALSE,4,5,26.90124384
65,0,0,100,10,FALSE,4,5,27.19620447
56,0,0,100,22,FALSE,3,5,25.99370327
43,0,0,100,26,FALSE,2,5,25.06703398
68,0,0,100,16,FALSE,4,5,26.81665136
58,0,0,100,26,FALSE,3,5,26.17630854
64,0,0,100,8,FALSE,4,5,28.66981503
69,0,0,100,18,FALSE,4,5,26.64884135
70,0,0,100,20,FALSE,4,5,25.86390218
55,0,0,100,20,FALSE,3,5,26.20221352
76,0,0,100,2,FALSE,5,5,48.4389348
74,0,0,100,28,FALSE,4,5,25.76437778
77,0,0,100,4,FALSE,5,5,32.67523722
78,0,0,100,6,FALSE,5,5,29.48576676
75,0,0,100,30,FALSE,4,5,25.1559482
72,0,0,100,24,FALSE,4,5,26.64790194
82,0,0,100,14,FALSE,5,5,27.53055026
73,0,0,100,26,FALSE,4,5,25.89715335
80,0,0,100,10,FALSE,5,5,27.56351393
81,0,0,100,12,FALSE,5,5,27.51064363
83,0,0,100,16,FALSE,5,5,27.89409244
84,0,0,100,18,FALSE,5,5,26.5624156
79,0,0,100,8,FALSE,5,5,28.19756002
67,0,0,100,14,FALSE,4,5,26.04012149
91,0,0,100,2,FALSE,6,5,47.70431589
92,0,0,100,4,FALSE,6,5,33.16498316
71,0,0,100,22,FALSE,4,5,25.92811229
86,0,0,100,22,FALSE,5,5,26.64086755
85,0,0,100,20,FALSE,5,5,25.95089653
94,0,0,100,8,FALSE,6,5,28.56486947
87,0,0,100,24,FALSE,5,5,25.94921547
